BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate
0704,1000000018,Favorfloat Corporation,4111 Central Ave NE Ste 203,,Columbia Hts,MN,55421,USA,7637880221,pjegede@aol.com,http://www.favorfloat.com,90027-200,Credit Repair Services – Monitored,2014-11-26 00:00:00,,False,A+,100.00,2,0,False,Micro-small,False,2022-12-02 09:29:00
0704,1000000019,Discount Plumbing and Drain Cleaning ,4318 Upton Ave S Ste 210,,Minneapolis,MN,55410,USA,6124443540,dispatch@asapmn.com,https://www.discountplumbers.com,10113-000,Plumbers,2012-04-03 00:00:00,,False,A+,100.00,20,0,False,Small,False,2023-02-08 09:28:00
0704,1000000020,"Ron&#39;s Auto Repair of Mankato, LLC",22695 589th Ave,,Mankato,MN,56001,USA,5073860660,ronsautorepairmankato@gmail.com,http://www.ronsautorepairmankato.com,60103-000,Auto Repair & Service,2002-04-01 00:00:00,,False,A+,100.00,3,0,False,Micro-small,False,2022-11-30 09:27:00
0704,1000000021,Black Jack Seal Coating,3520 84th Cir N,,Brooklyn Park,MN,55443,USA,6129103032,,,85295-000,Seal Coating,2015-04-13 00:00:00,2017-01-30 00:00:00,False,NR,0.00,1,0,False,Micro-small,False,2019-02-16 04:06:00
0704,1000000022,Klein Lawn Care,14268 Underclift St NW,,Andover,MN,55304,USA,7635670493,,,00157-000,Lawn Maintenance,2009-08-12 00:00:00,2019-10-14 00:00:00,False,NR,0.00,1,0,False,Micro-small,False,2020-12-11 04:12:00
0704,1000000023,"Schaper Engineering, LLC",PO Box 26,,Mound,MN,55364,USA,7635673035,craig@schaperengineering.com,https://schaperengineering.com/,60339-000,Engineers - Structural,2013-10-01 00:00:00,,True,A+,100.00,1,0,False,Micro-small,False,2022-07-08 12:27:00
0704,1000000024,new 2 you,501 Broadway W,,Little Falls,MN,56345,USA,3206392232,,,50655-000,Thrift Shops,,,False,NR,0.00,1,0,False,Micro-small,False,2023-01-24 08:58:00
0704,1000000025,River and Son,79 Wendy Ct,,Shoreview,MN,55126,USA,6517282144,,,10177-000,Construction & Remodeling Services,2016-03-31 00:00:00,,False,NR,0.00,1,0,False,Micro-small,False,2022-07-09 08:20:00
0704,1000000026,Insurance Specialists Team,530 Jefferson Blvd,,Big Lake,MN,55309,USA,7632443735,tim@istmn.com,http://www.insurancespecialiststeam.com,20080-000,Insurance Services,2001-03-02 00:00:00,,False,A+,100.00,11,0,False,Micro-small,False,2022-12-02 09:29:00
0704,1000000027,Blackduck Auto Parts Inc,25730 Highway 71 Ne,,Blackduck,MN,56630,USA,2188354278,,,50342-000,Home Centers,1984-01-01 00:00:00,,False,NR,0.00,1,0,False,Micro-small,False,2022-04-10 08:12:00
