,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,contains_contacts_page,contains_business_name,contains_business_name_in_copyright,contains_social_media_links,contains_reviews_page,contains_zipCode,url_contains_phone_number,url_contains_email,manually_checked
619,704,96147422,Choice Therapy PA,3835 Supreme Ct NW # 2,,Bemidji,MN,56601.0,USA,2184448280.0,cware@choicetherapy1.com,http://www.choicetherapy1.com,60685-000,Physical Therapists,1/1/2009 0:00,,False,A+,100.0,10.0,0.0,False,Small,False,8/19/2022 8:08,BBB,True,False,False,True,True,False,False,False,1
1860,704,96026709,"Schulz Electric, Inc.",32110 Dresden Ave,,Northfield,MN,55057.0,USA,5076457742.0,schulzelectric@charter.net,http://www.schulzelectricinc.com,10049-000,Electricians,1/1/1974 0:00,,False,A+,100.0,4.0,,False,Micro-small,False,7/2/2020 4:06,BBB,True,False,False,True,False,False,False,False,1
1669,704,96342018,"Rubicon Mortgage Advisors, LLC",10301 Wayzata Blvd Ste 100,,Minnetonka,MN,55305.0,USA,9524442401.0,briancall@rubiconmortgagellc.com,http://www.rubiconmortgageadvisors.com,25053-000,Mortgage Bankers,6/26/2006 0:00,,False,A+,100.0,21.0,,False,Small,False,10/26/2022 8:41,BBB,False,False,False,False,False,False,False,False,0
1883,704,96506422,"IRadon, LLC",4740 Bayside Rd,,Maple Plain,MN,55359.0,USA,6124831384.0,andrew@iradon.com,http://www.iradon.com,61026-100,Radon Mitigation,6/7/2013 0:00,,False,A+,100.0,1.0,0.0,False,Small,False,11/6/2021 4:01,BBB,False,False,False,False,False,False,False,False,1
583,704,15002301,Reprocessing Products Corporation (RPC),6901 E Fish Lake Rd Ste 150,,Maple Grove,MN,55369.0,USA,8006473873.0,lhoffman@rpc-rabrenco.com,http://www.rpc-rabrenco.com,30784-000,Manufacturers & Producers,1/1/1991 0:00,,True,A+,100.0,30.0,,False,Micro-small,False,1/11/2023 9:00,BBB,True,False,False,False,False,False,False,False,1
1777,704,96112600,Eden Prairie Community Center,16700 Valley View Rd,,Eden Prairie,MN,55346.0,USA,9529498470.0,wsevenich@edenprairie.org,http://www.edenprairie.org,60737-000,Recreation Centers,1/1/1983 0:00,,False,NR,0.0,250.0,,False,Small,False,3/29/2017 4:05,BBB,True,False,False,True,False,False,False,False,1
1966,704,1000001707,H & H Concrete & Masonry LLC, 	14651 60TH ST SW,,Cokato,MN,55321.0,USA,,,https://www.dandb.com/businessdirectory/hhconcretemasonryllc-cokato-mn-21833770.html,10032-000,Concrete Contractors,2/14/2006 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,10/9/2021 4:04,Search,True,False,False,True,True,False,False,False,0
331,704,1000001318,Voss Utility & Plumbing,885 Katydid Ln NE,,Saint Michael,MN,55376.0,USA,7634974577.0,,https://vossupinc.com/,10113-100,Plumbers - Commercial,1/1/2005 0:00,,False,NR,0.0,15.0,0.0,False,Small,False,11/29/2022 9:07,Search,True,True,False,False,False,False,False,False,1
1029,704,96176612,"JNBA Financial Advisors, LLC",8500 Normandale Lake Blvd STE 450,,Minneapolis,MN,55437.0,USA,9528440995.0,info@jnba.com,https://jnba.com/,20012-000,Financial Planning Consultants,12/26/1978 0:00,,False,A+,100.0,31.0,,False,Small,False,1/27/2023 9:09,BBB,False,False,False,False,False,False,False,False,1
1273,704,1000006333,Jeremy Seifert Electric,45458 442nd St,,Perham,MN,56573.0,USA,2183466580.0,,https://www.facebook.com/JeremySeifertElectricInc/,10049-000,Electricians,1/1/2006 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,3/13/2021 4:07,Search,False,False,False,True,False,False,False,False,1
906,704,96556933,C&C Ornamental Iron Works Inc.,4569 124 Rd NW,,Epping,ND,58843.0,USA,7018598768.0,c-coiw@hotmail.com,http://www.ccoiw.com/,10082-000,Iron Work,,,False,A+,100.0,1.0,0.0,False,Micro-small,False,12/29/2022 9:05,BBB,True,False,False,False,False,False,False,False,1
1318,704,1000004995,Van Koevering & Van Koevering,12789 County Road 131,,Holdingford,MN,56340.0,USA,3203630533.0,,https://www.superpages.com/holdingford-mn/bpp/van-koevering-van-koevering-315024,00155-000,Landscape Contractors,8/30/2010 0:00,,False,A+,100.0,2.0,0.0,False,Micro-small,False,3/4/2022 9:46,Search,True,True,False,True,True,False,False,False,1
1696,704,96225143,Central Marine & Sports,5110 County 13,,Carlos,MN,56319.0,USA,3208527380.0,eric@centralmarineandsports.com,http://Centralmarineandsports.com,50082-000,Boat Dealers,8/5/2004 0:00,,False,A+,100.0,6.0,0.0,False,Micro-small,False,4/15/2022 8:42,BBB,True,False,False,False,False,False,False,False,1
498,704,96134527,Eugene D Longstrom Real Estate,108 2nd Ave SE,,Pipestone,MN,56164.0,USA,5078252412.0,djrjmr@wowway.com,https://www.wowway.com/,60729-000,Real Estate,2/1/2002 0:00,,False,NR,0.0,1.0,,False,Micro-small,False,7/12/2022 8:33,Email,True,False,False,True,False,False,False,False,0
