,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,status_code,manually_checked
14,14,14,14,14,14,704,51001468,Austin Area Chamber of Commerce,329 N Main St Ste 102,,Austin,MN,55912,USA,5074374561.0,execdir@austincoc.com,http://www.austincoc.com,60194-000,Chambers Of Commerce,1/1/39 0:00,,True,A+,100.0,3.0,0.0,False,Micro-small,False,1/24/23 8:57,BBB,200,1.0
15,15,15,15,15,15,704,96130069,United Methodist First Choice FCU,122 W Franklin Ave Ste 400,,Minneapolis,MN,55404,USA,6128700058.0,,http://www.minnesotaumc.org,20009-000,Credit Unions,1/1/92 0:00,,False,NR,0.0,25.0,,False,Micro-small,False,11/29/21 3:59,BBB,200,1.0
16,16,16,16,16,16,704,23002635,"ECOsmarte Planet Friendly, Inc.",9437 Garfield Ave S Ste 110,Suite 110,Minneapolis,MN,55420,USA,6128661200.0,larryc@ecosmarte.com,http://www.ecosmarte.com,80779-000,Water Filtration & Purification Equipment,3/15/96 0:00,,True,A+,100.0,14.0,0.0,False,Small,False,1/27/23 9:08,BBB,200,1.0
17,17,17,17,17,17,704,96110396,TUCS Equipment,755 S Old Highway 18,,Princeton,MN,55371,USA,7636318827.0,dcoleman@tucsequipment.com,http://www.tucsequipment.com,30784-000,Manufacturers & Producers,1/1/84 0:00,,False,A+,100.0,35.0,,False,Micro-small,False,9/15/21 4:36,BBB,200,1.0
18,18,18,18,18,18,704,96107731,Southern Living House Plans,1000 County Road E W,,Shoreview,MN,55126,USA,6123555700.0,sharon.herbert@homeplans.com,http://www.coastallivinghouseplans.com,60439-000,Home Design & Planning,10/16/08 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,10/5/22 8:45,BBB,200,0.0
19,19,19,19,19,19,704,21001144,Active Research Investigations Inc,949 Vadnais Dr Ste B,,Vadnais Heights,MN,55127,USA,6516599551.0,,http://www.arinvestigation.com,60476-000,Investigators,11/17/08 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,7/20/22 9:09,BBB,200,0.0
20,20,20,20,20,20,704,96108583,"Redwood Building Center, Inc.",811 E Bridge St,,Redwood Falls,MN,56283,USA,5076378461.0,michaelw@redwoodbuildingcenter.com,http://www.redwoodbuildingcenter.com,10035-000,Contractors - General,1/1/84 0:00,,False,A+,100.0,8.0,,False,Micro-small,False,6/17/21 4:20,BBB,200,1.0
21,21,21,21,21,21,704,96281964,Fire Audiology & Hearing Center,121 North Washington St.,,Grand Forks,ND,58203,USA,7017875862.0,,http://www.hearingnd.com,50337-000,Hearing Aids & Assistive Devices,1/1/02 0:00,,False,NR,0.0,2.0,,False,Micro-small,False,12/8/22 9:14,BBB,200,1.0
22,22,22,22,22,22,704,1000031981,Shakopee Candle Company,611 Hennes Ave,,Shakopee,MN,55379,USA,6128047486.0,,https://shakopeecandle.com/,62100-000,Online Retailer,11/18/16 0:00,,False,NR,0.0,1.0,,False,Micro-small,False,11/13/22 9:01,BBB,200,1.0
23,23,23,23,23,23,704,1000011932,Launch 5 Media Inc,319 Nevada St ,,Northfield,MN,55057,USA,6127563922.0,info@launch5media.com,https://www.launch5media.com/,60473-600,Digital Marketing,11/24/14 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,12/2/21 4:07,BBB,200,1.0
24,24,24,24,24,24,704,1000012090,Jerry's Military Exchange,501 Bluff Ave,,St Charles,MN,55972,USA,7156713259.0,balkolikesbeer@gmail.com,https://jerrysmilitaryexchange-com.3dcartstores.com,50024-100,Military Goods,,,False,A+,97.0,1.0,0.0,False,Micro-small,False,12/1/21 4:53,BBB,200,1.0
25,25,25,25,25,25,704,96360798,Justin Ruby&#39;s Bookkeeping Solutions,7459 96th St S,,Cottage Grove,MN,55016,USA,6512312307.0,jdruby11@smumn.edu,https://www.smumn.edu/,60155-000,Bookkeeping Service,,,False,A+,100.0,1.0,,False,Micro-small,False,9/14/22 8:40,Email,200,0.0
26,26,26,26,26,26,704,96366497,"Stroman Tile, LLC",11016 Johnson Ave S,,Bloomington,MN,55437,USA,6122211630.0,stromantile@gmail.com,https://sites.google.com/site/stromantile/,10159-000,Tile - Ceramic - Contractors & Dealers,7/18/11 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,11/25/20 4:56,BBB,200,0.0
27,27,27,27,27,27,704,1000006794,"Dance, Etc",1305 Dyke Ave,,Grand Forks,ND,58203,USA,7017753476.0,director@dance-etc-nd.com,http://www.dance-etc-nd.com/,60277-000,Dance Companies,9/7/95 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/9/23 8:32,BBB,200,1.0
28,28,28,28,28,28,704,96162328,Good Samaritan Society -Oakes,213 N 9th St,,Oakes,ND,58474,USA,7017423274.0,gss6260@good-sam.com,http://www.good-sam.com,60617-000,Nursing Homes,1/1/84 0:00,,False,A+,100.0,118.0,0.0,False,Micro-small,False,8/4/22 8:30,BBB,200,1.0
29,29,29,29,29,29,704,1000044769,Cass Precision Machining - Heartland Equity Management LLC,4800 N Lilac Drive ,,Brooklyn Center,MN,55429,USA,7635350501.0,info@cassprecision.com,https://cassprecisionmachining.com/,30366-000,Machine Shops,1/1/45 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,8/30/22 8:18,BBB,200,1.0
30,30,30,30,30,30,704,96036865,Potbelly Sandwich Works,8251 Flying Cloud Dr Ste 2332,,Eden Prairie,MN,55344,USA,9528290050.0,,http://www.potbelly.com,50555-000,Sandwiches,1/1/04 0:00,,False,NR,0.0,25.0,,False,Small,False,9/2/22 8:26,BBB,200,1.0
31,31,31,31,31,31,704,96190789,CNH Architects,7300 147th St W Ste 504,,Apple Valley,MN,55124,USA,9524314433.0,,http://www.cnharch.com,60057-000,Architects,11/12/69 0:00,,False,A+,100.0,4.0,,False,Small,False,2/4/23 9:01,BBB,200,1.0
32,32,32,32,32,32,704,1000000143,Lake Country Lawn & Landscape LLC,4475 Forest Lake Lndg,,Mound,MN,55364,USA,9523808953.0,lakecountrylawn@gmail.com,http://lakecountrylawnandlandscape.com,00155-000,Landscape Contractors,1/1/07 0:00,,False,A+,100.0,2.0,0.0,False,Micro-small,False,12/3/22 9:06,BBB,200,1.0
33,33,33,33,33,33,704,96342152,Visiting Angels,2000 Old West Main St Ste 345,,Red Wing,MN,55066,USA,6512126600.0,angelsredwing@comcast.net,http://www.visitingangels.com,85273-000,In-Home Care,12/1/08 0:00,,False,A+,100.0,4.0,0.0,False,Micro-small,False,5/5/22 8:23,BBB,200,1.0
34,34,34,34,34,34,704,96185116,Doeren Sales & Associates,217 Macarthur St E,,South St Paul,MN,55075,USA,6514931201.0,info@doerensales.com,http://doerensales.com,10086-000,Lighting Consultants,9/1/06 0:00,,False,A+,100.0,4.0,,False,Micro-small,False,7/30/20 4:00,BBB,200,1.0
35,35,35,35,35,35,704,96098614,Digital Illusion,6502 Glacier Ln N,,Maple Grove,MN,55311,,6126730085.0,bob@digitalillusioninc.com,http://www.digitalillusioninc.com,89000-000,Digital Media,10/1/96 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,2/9/23 9:11,BBB,200,1.0
36,36,36,36,36,36,704,1000035550,"Cricket Wireless, LLC",1703 Rice St,,Saint Paul,MN,55113,USA,8559246246.0,,http://www.cricketwireless.com,70535-000,Cellular Telephone Service & Supplies,,8/9/21 0:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,6/1/22 21:28,BBB,200,1.0
37,37,37,37,37,37,704,96541120,C & C Special Products Company,9640 Humboldt Ave S,,Minneapolis,MN,55431,USA,9528810073.0,,http://www.ccspecial.com/,30352-000,Lithographers,4/30/14 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,7/8/22 12:28,BBB,200,1.0
38,38,38,38,38,38,704,51001493,Wagner Construction Company Inc,2209 4th St NW,,Austin,MN,55912,USA,5074331878.0,,http://www.wagnerconstructioninc.com/,10078-000,Home Builders,1/1/12 0:00,,False,NR,0.0,12.0,,False,Small,False,2/7/23 8:59,BBB,200,1.0
39,39,39,39,39,39,704,96096694,Irrigation Management LLC,3500 Vicksburg Ln N Ste 359,,Minneapolis,MN,55447,USA,7636841880.0,billing@irrigationmgt.com,http://www.irrigationmgt.com,80404-000,Irrigation Systems & Equipment,1/1/00 0:00,,False,A+,100.0,5.0,,False,Micro-small,False,2/7/23 8:59,BBB,200,1.0
40,40,40,40,40,40,704,96043500,"HC Overhead Systems, Inc.",PO Box 10658,,Fargo,ND,58106,USA,7017990452.0,jhaakenson@702com.net,https://www.702com.net/,80398-000,Industrial Equipment & Supplies,1/1/01 0:00,4/27/16 0:00,False,NR,0.0,5.0,,False,Micro-small,False,4/29/19 4:01,Email,200,0.0
41,41,41,41,41,41,704,96108500,"Hearing Planet, Inc.",100 Westwood Pl Ste 300,,Brentwood,TN,37027,USA,6152485910.0,,http://www.hearingplanet.com,50337-000,Hearing Aids & Assistive Devices,10/27/08 0:00,,False,NR,0.0,2.0,,False,Micro-small,False,9/20/16 4:29,BBB,200,1.0
42,42,42,42,42,42,704,1000005709,Trouble's Restaurant,928 6th St,,Howard Lake,MN,55349,USA,3205431100.0,,http://www.troublesrestaurant.com,50544-000,Restaurants,3/23/11 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/24/22 9:32,BBB,200,0.0
43,43,43,43,43,43,704,1000035429,OneMain Financial,401 40th Ave SW,Ste 141,Minot,ND,58701,USA,7018397537.0,,https://www.onemainfinancial.com/,20049-000,Consumer Finance & Loan Companies,,,True,NR,0.0,1.0,0.0,False,Micro-small,False,6/1/22 21:28,BBB,200,1.0
44,44,44,44,44,44,704,96094666,"Free Geothermal Energy, LLC",2507 Eastwood Ln,,Monticello,MN,55362,USA,8779484436.0,bryon@freegeothermalenergy.com,http://www.freegeothermalenergy.com,10182-100,Geothermal Heating & Cooling,1/1/95 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,11/23/22 9:42,BBB,200,0.0
45,45,45,45,45,45,704,96594097,Front Street Install Pros,1416 E. Front,,Bismarck,ND,58502,USA,7012551636.0,ken@frontstreetmillwork.com,https://www.frontstreetmillwork.com/,10078-000,Home Builders,2/22/16 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,3/27/22 8:19,Email,200,1.0
46,46,46,46,46,46,704,24000192,"Hales Machine Tool, Inc.",2730 Niagara Ln N,,Minneapolis,MN,55447,USA,7635531711.0,dhales@halesmachinetool.com,http://www.halesmachinetool.com,30367-000,Machine Tools,1/1/83 0:00,,False,A+,100.0,26.0,,False,Medium,False,1/3/23 8:39,BBB,200,1.0
47,47,47,47,47,47,704,96488578,"Tilford Contracting, LLC",6530 Balsam Ln N,,Maple Grove,MN,55369,USA,7632275952.0,tilfordcontracting@gmail.com,http://www.tilfordcontracting.com,10073-000,Gutters & Downspouts,3/12/12 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,8/13/22 8:19,BBB,200,0.0
48,48,48,48,48,48,704,96100558,"Yira Law Office, Ltd.",102 Main St S # 201,,Hutchinson,MN,55350,USA,3205870305.0,myira@yiralaw.com,http://www.yiralaw.com,60075-125,Attorneys & Lawyers - Personal Injury & Property Damage,1/1/00 0:00,,False,A+,100.0,2.0,,False,Micro-small,False,10/7/21 3:58,BBB,200,1.0
49,49,49,49,49,49,704,1000052331,Sue's Cut & Curl,102 4th St NE,,Fairfax,MN,55332,USA,5074267356.0,sgblack@gmail.com,https://m.facebook.com/suescutncurl/?ref=py_c,60134-000,Beauty Salons,1/1/84 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,2/16/22 10:07,BBB,200,1.0
50,50,50,50,50,50,704,1000055861,"Front Line Consultants, LLC",4707 Highway 61 N # 1058,,White Bear Lake,MN,55110,,9522474335.0,info@flco.us,https://www.flco.us,60789-100,Security Guard Training,4/17/20 0:00,,True,A+,97.04,2.0,,False,Micro-small,False,2/9/23 9:12,BBB,200,1.0
51,51,51,51,51,51,704,96155815,Kallsen Internet Consulting LLC,13700 Theresa Pl,,Eden Prairie,MN,55346,USA,9529375954.0,,http://www.kallsen-internet-consulting.com,60980-000,Web Design,1/1/04 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,5/29/20 3:58,BBB,200,1.0
52,52,52,52,52,52,704,96023428,Electric Motor Supply Company,4650 Main St NE,,Fridley,MN,55421,USA,7635719005.0,bbullock@emscomn.com,http://www.emscomn.com,60321-000,Electric Equipment - Service & Repair,11/4/49 0:00,,True,A+,100.0,30.0,0.0,False,Small,False,1/11/23 9:00,BBB,200,1.0
53,53,53,53,53,53,704,1000038532,Monticello Auto Body,213 Sandberg Rd,,Monticello,MN,55362,USA,7632954122.0,,http://www.monticelloautobody.com,60094-000,Auto Body Repair & Painting,1/1/01 0:00,,False,A+,100.0,5.0,,False,Micro-small,False,7/15/20 4:20,BBB,200,1.0
54,54,54,54,54,54,704,96149075,"Galvanizers, Inc.",1202 7th Ave NE,,West Fargo,ND,58078,USA,7012823906.0,sales@galvanizersinc.com,http://www.galvanizersinc.com,30255-000,Galvanizing,1/1/88 0:00,,False,A+,100.0,50.0,0.0,False,Micro-small,False,6/12/22 8:06,BBB,200,1.0
55,55,55,55,55,55,704,1000016228,Ez-Mow Minnesota LLC,1359 Glenview Rd,,Winona,MN,55987,USA,6124608332.0,sam@ezmowmn.com,https://ezmowmn.com/,10035-000,Contractors - General,1/23/17 0:00,,False,A+,100.0,2.0,0.0,False,Micro-small,False,11/29/22 9:07,BBB,200,1.0
56,56,56,56,56,56,704,1000008819,"Hafner's Greenhouse, Inc",16925 170th St,,Park Rapids,MN,56470,USA,2187328033.0,hafners@unitelc.com,http://www.hafnersgreenhouse.com/,10072-000,Greenhouses,9/4/03 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,4/30/20 3:57,BBB,200,1.0
57,57,57,57,57,57,704,96147783,Oak Park Wine & Spirits,5805 Neal Ave N,,Stillwater,MN,55082,USA,6514392184.0,,http://www.oakswine.com,50399-000,Liquor Stores,1/1/09 0:00,6/8/18 0:00,False,NR,0.0,2.0,,False,Micro-small,False,6/15/21 4:23,BBB,200,0.0
58,58,58,58,58,58,704,38000697,B & C Plumbing Inc,15 Monroe St SE,,Hutchinson,MN,55350,USA,3202346900.0,bobarthur10@hotmail.com,http://www.b-cplumbing.com,10113-000,Plumbers,9/1/97 0:00,,False,A+,100.0,8.0,,False,Small,False,1/10/23 8:48,BBB,200,0.0
59,59,59,59,59,59,704,1000013202,Feline Snoozers Pack N Nap,18640 Harrow Ave N,,Forest Lake,MN,55025,USA,6514643294.0,nancy@felinesnoozers.com,http://www.felinesnoozers.com,50486-000,Pet Supplies & Foods - Retail,7/3/08 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,9/10/21 4:01,BBB,200,1.0
60,60,60,60,60,60,704,1000018887,Sharp-Edge Hardwood Floors LLC,24948 Hawthorn Rd,,Pierz,MN,56364,USA,7632621600.0,sharpedgefloors@hotmail.com,http://www.sharpedgefloors.com/,15058-000,Hardwood Floor Contractors,4/13/05 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,5/12/21 4:36,BBB,200,1.0
61,61,61,61,61,61,704,96199515,Jag Adjusting,15067 County Road 44,,Annandale,MN,55382,USA,3202742506.0,jody@jagadjusting.com,http://www.jagadjusting.com,20080-000,Insurance Services,1/1/08 0:00,,False,A+,100.0,20.0,,False,Micro-small,False,6/15/21 4:23,BBB,200,1.0
62,62,62,62,62,62,704,96133000,"Associated Finishing, Inc.",320 Mallard Ln,,Mankato,MN,56001,USA,5073455861.0,,http://www.associatedfinishing.com,80474-000,Metal Finishers,1/1/84 0:00,,False,A+,100.0,85.0,0.0,False,Small,False,1/26/23 8:50,BBB,200,1.0
63,63,63,63,63,63,704,96085590,Banner Engineering Corporation,9714 10th Ave N,,Minneapolis,MN,55441,USA,7635443164.0,,http://www.bannerengineering.com,60334-000,Engineers - Professional,1/1/66 0:00,,False,A+,100.0,250.0,,False,Medium,False,11/23/22 9:42,BBB,200,1.0
64,64,64,64,64,64,704,96092901,Widseth Smith Nolting & Associates Inc,216 S Main St Ste 1,,Crookston,MN,56716,USA,2182816522.0,crookston@wsn.us.com,http://www.widsethsmithnolting.com,60335-000,Engineering Contractors - General,1/13/75 0:00,,False,A+,100.0,180.0,0.0,False,Small,False,10/22/22 8:10,BBB,200,1.0
65,65,65,65,65,65,704,1000002457,Giefer Sales Company,630 Weston Ridge Pkwy,,Chaska,MN,55318,USA,6127474804.0,csteffensen@giefersales.com,http://www.giefersales.com/,85278-100,Metal Fabricating Machinery,1/2/63 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,10/10/22 7:59,BBB,200,1.0
66,66,66,66,66,66,704,1000051493,Pit Stop Express Lube,117 4th St NW,,Jamestown,ND,58401,USA,7019527867.0,pitstop@daktel.com,https://www.facebook.com/profile.php?id=100063744212053,60523-000,Lubricating Service - Automotive,12/2/17 0:00,,True,A+,100.0,5.0,,False,Micro-small,False,1/28/23 8:48,BBB,200,1.0
67,67,67,67,67,67,704,1000004622,Tri-County Organics,40 35th Ave NE,,Saint Cloud,MN,56304,USA,3204933270.0,,http://tri-countyorganics.com,86500-000,Composting Systems,7/30/12 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,3/22/20 4:00,BBB,200,1.0
68,68,68,68,68,68,704,1000022018,Advanced Plumbing & Drain Cleaning,311 3rd Ave SE,,E Grand Forks,MN,56721,USA,7017395460.0,jsuedel@rocketmail.com,https://www.facebook.com/Advanced-Plumbing-Drain-Cleaning-370156813470297/,10113-000,Plumbers,3/8/18 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,7/20/22 9:11,BBB,200,1.0
69,69,69,69,69,69,704,96144080,Klimpel Excavating Inc,1900 Parkside Dr,,Minot,ND,58701,USA,7018384406.0,klimpel@srt.com,https://www.srt.com/,10050-000,Excavating Contractors,8/1/92 0:00,,False,A+,100.0,3.0,,False,Micro-small,False,5/19/21 4:27,Email,200,0.0
70,70,70,70,70,70,704,96538701,Personnel Resources LLC,900 American Blvd E,,Minneapolis,MN,55420,USA,9523033042.0,wclayton@partnerwithexperts.com,http://www.partnerwithexperts.com,60326-000,Employment Agencies,,,False,A+,100.0,1.0,,False,Micro-small,False,4/29/22 8:16,BBB,200,1.0
71,71,71,71,71,71,704,932,"Rental Research Services, Inc.",7525 Mitchell Rd Ste 301,,Eden Prairie,MN,55344,USA,9529355700.0,Lee.Mikkelson@rentalresearch.com,http://www.RentalResearch.com,85294-000,Screening - Tenant,1/1/69 0:00,,False,A+,100.0,20.0,,False,Large,False,3/11/21 4:07,BBB,200,1.0
72,72,72,72,72,72,704,96295889,Today&#39;s Driving School,100 Century Avenue SE,,Hutchinson,MN,55350,USA,8443748315.0,tim@todaysdrivingschool.com,http://www.todaysdrivingschool.com,60309-101,Auto Driving School,6/1/02 0:00,,False,A+,100.0,14.0,0.0,False,Medium,False,2/2/23 8:52,BBB,200,1.0
73,73,73,73,73,73,704,96037942,Minnesota Carpet Outlet,2421 Coon Rapids Blvd NW,,Minneapolis,MN,55433,USA,7637577322.0,minnesotacarpet@live.com,https://www.live.com/,50133-000,Carpet & Rug Dealers - New,2/28/98 0:00,,False,A+,100.0,3.0,,False,Small,False,12/10/22 9:02,Email,200,0.0
74,74,74,74,74,74,704,1000019754,Photopixels,2885 Knox Ave S Ste 805,,Minneapolis,MN,55408,USA,6127412345.0,,http://Photopixels.com,60655-100,Photographers,2/1/99 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,1/1/20 7:41,BBB,200,0.0
75,75,75,75,75,75,704,96223962,Mortgage & Investment Cnsltnt,26 6th Ave N Ste 220,,Saint Cloud,MN,56303,USA,3202020222.0,,http://Nationwidemortgageinc.com,20053-000,Mortgage Brokers,,6/16/17 0:00,False,NR,0.0,5.0,,False,Micro-small,False,6/22/20 3:55,BBB,200,0.0
76,76,76,76,76,76,704,96083101,Interstate Detroit Diesel,1921 S 16th Ave,,Virginia,MN,55792,USA,2187494484.0,trdmonds@istate.com,http://www.istate.com,60340-000,Engines - Fuel Injection Service & Parts,1/1/00 0:00,,False,A+,100.0,7.0,,False,Micro-small,False,6/15/22 9:01,BBB,200,1.0
77,77,77,77,77,77,704,96153748,National Karate,9770 Schreiber Ter N,,Minneapolis,MN,55445,USA,7634248868.0,,http://www.nationalkarate.com,60541-000,Martial Arts,1/1/97 0:00,,False,A+,100.0,2.0,,False,Micro-small,False,8/1/19 4:20,BBB,200,1.0
78,78,78,78,78,78,704,96090127,"Boe Ornamental Iron, Inc.",484 Lilac St,,Lino Lakes,MN,55014,USA,6517802627.0,dave@boeironinc.com,http://www.boeironinc.com,30438-000,Ornamental Metal Work,1/1/79 0:00,,False,A+,100.0,10.0,,False,Micro-small,False,4/20/22 8:35,BBB,200,1.0
79,79,79,79,79,79,704,15000912,Select Properties,1621 W Saint Germain St,,Saint Cloud,MN,56301,USA,3202531154.0,,http://www.selectprop.com,61003-000,Real Estate - Rentals by Individuals,1/1/93 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,7/26/22 8:43,BBB,200,0.0
80,80,80,80,80,80,704,1000038120,Aset Supply & Paper Inc,7600 Boone Ave N Ste 71,,Brooklyn Park,MN,55428,USA,7634327263.0,customerservice@asetsupplyandpaper.com,http://www.asetsupplyandpaper.com/,80515-000,Office Supplies,1/21/98 0:00,,False,A+,100.0,50.0,0.0,False,Medium,False,2/8/23 9:28,BBB,200,1.0
81,81,81,81,81,81,704,96289069,Schaefer Vermeer Equipment LLP,11234 25th St SE,,Valley City,ND,58072,USA,7016466089.0,bigyellowironag@yahoo.com,https://bigyellowironag.wixsite.com/schaefervermeer,00103-000,Agricultural Services,3/21/21 0:00,,False,A,94.52,6.0,0.0,False,Micro-small,False,1/10/23 8:49,BBB,200,1.0
82,82,82,82,82,82,704,11164,Reed's Sales & Service,1260 Payne Ave,,Saint Paul,MN,55130,USA,6517749515.0,tool.repairmn@comcast.net,http://www.reedssalesandservice.com,50665-000,Tools - Electric,1/1/56 0:00,,False,A+,100.0,4.0,,False,Large,False,4/2/22 8:47,BBB,200,1.0
