,Unnamed: 0,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,status_code,manually_checked
19,1990,704,1000005163,Northwoods Guitar Shop,6382 Main St,,North Branch,MN,55056.0,USA,6519640584.0,,https://foursquare.com/v/northwoods-guitar-shop/565e82f9498e70d23ef89ead,50010-100,Guitars & Amplifiers,11/22/15 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,5/12/22 8:38,Search,200,0
20,1991,704,1000002225,"Toohey Law Firm, P.A.","11108 Zealand Avenue North, Suite 203",,Champlin,MN,55316.0,USA,7637460845.0,,https://tooheylawfirm.com/,60075-000,Attorneys & Lawyers,1/24/14 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,10/9/22 8:05,Search,200,1
21,1992,704,1000001392,Universal AM-Can Ltd,656 Pelham Blvd Ste 1,,Saint Paul,MN,55114.0,USA,6519177771.0,,https://www.superpages.com/saint-paul-mn/bpp/universal-truckload-25749022,70640-000,Trucking,,6/3/16 0:00,False,NR,0.0,50.0,,False,Medium,False,11/13/21 3:59,Search,200,0
22,1993,704,1000001370,Trosen Construction,11211 33rd St Se,,Valley City,ND,58072.0,USA,7018454236.0,,https://www.dandb.com/businessdirectory/trosenconstruction-valleycity-nd-16126833.html,10126-000,Roofing Contractors,6/30/09 0:00,,False,NR,0.0,3.0,0.0,False,Micro-small,False,5/11/22 8:37,Search,200,0
23,1994,704,1000001963,"Peck Home & Deck, LLC",2044 14th St SE,,Rochester,MN,55904.0,USA,5079931206.0,,https://www.facebook.com/peckhomeanddeck/,10099-100,Deck - Repair,7/1/13 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,1/30/23 21:33,Search,200,0
24,1995,704,1000001715,Fairbanks Properties Llc,15417 Hanson Blvd NW,,Andover,MN,55304.0,USA,7634341902.0,,https://411.info/business/Fairbanks-Properties-Llc-Andover-MN-8743349,60732-000,Property Management,1/1/06 0:00,4/21/14 0:00,False,NR,0.0,3.0,,False,Micro-small,False,3/19/18 4:34,Search,200,0
25,1996,704,1000005188,Gene's Landscaping,PO Box 10913,,Fargo,ND,58106.0,USA,7017810064.0,,https://www.superpages.com/fargo-nd/bpp/genes-landscaping-530643204,00155-000,Landscape Contractors,1/1/10 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,9/25/21 4:01,Search,200,0
26,1997,704,1000005859,Darrel Carr Construction LLC,36305 Hubble Pond Rd,,Rochert,MN,56578.0,USA,2188495315.0,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2919601,10177-000,Construction & Remodeling Services,7/21/09 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,6/18/22 8:23,Search,200,0
27,1998,704,1000003099,Bitzan Machine,12483 Lakes Rd NW,,Millerville,MN,56315.0,USA,3208345302.0,,https://www.schaffermachine.com/about,30370-000,Machinery - New,1/1/00 0:00,,False,NR,0.0,8.0,0.0,False,Micro-small,False,1/29/23 8:37,Search,200,0
28,1999,704,1000004507,"Threadmasters Precision Machining, LLC",4813 Front St W,,Bonetraill,ND,58801.0,USA,3037791900.0,,https://www.facebook.com/mazakmaniac/,30366-000,Machine Shops,7/28/15 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,12/4/22 9:03,Search,200,0
