,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,status_code
677,677,95868,95868,704,1000004523,Molitor Excavating,1155 23rd Ave S,,Waite Park,MN,56387.0,USA,3202528010.0,,https://chambermaster.stcloudareachamber.com/list/member/molitor-excavating-inc-waite-park-1177,10050-000,Excavating Contractors,1984-01-01 00:00:00,,False,NR,0.0,6.0,0.0,False,Micro-small,False,2023-01-29 08:37:00,Search,200
625,625,95781,95781,704,1000003920,Steven's Restaurant,202 Rum River Dr N,,Princeton,MN,55371.0,USA,7636319644.0,,https://www.menupix.com/minnesota/restaurants/380228852/Stevens-Princeton-MN,50544-000,Restaurants,2010-01-01 00:00:00,,False,A+,100.0,,0.0,False,Micro-small,False,2020-01-30 04:34:00,Search,200
1141,1141,96344,96344,704,1000005962,"Collette/Parks Construction, LLC",1126 Poplar Dr,,Brainerd,MN,56401.0,USA,2188211483.0,,http://midmnba.org/list/member/collette-parks-construction-llc-east-gull-lake-62,10035-000,Contractors - General,2005-01-01 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-01-24 08:58:00,Search,200
591,591,95743,95743,704,1000003789,Emerald Remodeling,5942 4th St NE,,Fridley,MN,55432.0,USA,6122079552.0,,https://www.ci.fridley.mn.us/791/Licensed-Solicitors,10177-000,Construction & Remodeling Services,,2019-11-25 00:00:00,False,NR,0.0,1.0,,False,Micro-small,False,2022-11-28 08:54:00,Search,200
149,149,95274,95274,704,1000001466,All Type&#39;s Construction,2700 O&#39;Henry Road,,Brooklyn Center,MN,55430.0,USA,7635616036.0,,https://www.ci.brooklyn-center.mn.us/government/departments/community-development/building-construction-regulations-permits?locale=en,10177-000,Construction & Remodeling Services,,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-01-31 08:46:00,Search,200
803,803,95997,95997,704,1000005005,BRJ Construction,PO Box 74,300 1st St Ne,Plato,MN,55370.0,,3202382114.0,,https://www.bizapedia.com/mn/brj-construction-inc.html,10177-000,Construction & Remodeling Services,1993-05-10 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2023-02-09 20:03:00,Search,200
962,962,96161,96161,704,1000005435,Don Ho Chinese Restaurant,7700 W Old Shakopee Rd Ste 110,,Minneapolis,MN,55438.0,USA,9529411356.0,,https://www.menupix.com/twincities/restaurants/2306264/Don-Ho-Restaurant-Bloomington-MN,50544-000,Restaurants,2014-05-27 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-02-07 09:00:00,Search,200
817,817,96011,96011,704,1000005030,"Auto Deals, LLC",8080 W 125th St Ste J,,Savage,MN,55378.0,USA,9527368399.0,,https://www.facebook.com/AutoDealsMN/,50040-000,Auto Dealers - Used Cars,2015-08-26 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2021-04-13 04:06:00,Search,200
119,119,95244,95244,704,1000001361,Osborne Apartments,659 Osborne Rd Ne,,Minneapolis,MN,55432.0,USA,7637802169.0,,https://www.ebenezercares.org/affordable-housing-osborne-apartments,60617-000,Nursing Homes,1994-01-01 00:00:00,,False,NR,0.0,4.0,0.0,False,Micro-small,False,2023-02-02 08:53:00,Search,200
39,39,95164,95164,704,1000000102,Lake Dental Group,2200 London Rd Suite 100,,Duluth,MN,55812.0,USA,2187284272.0,,https://lakedental.com/,60289-000,Dentists,,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2021-10-21 03:59:00,Search,200
5,5,95130,95130,704,1000000009,"Larry Brooks Builders, Inc.",185 High Point Pl NE Ste 101,,Byron,MN,55920.0,USA,5077756244.0,,https://www.yellowpages.com/byron-mn/mip/larry-brooks-builders-524749580,10035-000,Contractors - General,2003-03-04 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-10-04 08:07:00,Search,200
729,729,95921,95921,704,1000004776,Krieger Beverage Company,2620 Yh Hanson Ave,,Albert Lea,MN,56007.0,USA,5073735101.0,,https://www.beverage-world.com/en/company/krieger-beverage-company-albert-lea-2086360,85084-000,Beverages - Wholesale & Distribution,1971-10-01 00:00:00,2019-12-17 00:00:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-12-19 08:51:00,Search,200
474,474,95626,95626,704,1000003002,Moody Auto Repair,551 Highway 85 North,,Williston,ND,58801.0,USA,7015725201.0,,https://auto-repair-services.cmac.ws/bob-moody-repair/25862/,60103-000,Auto Repair & Service,,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2020-12-23 12:21:00,Search,200
1230,1230,96444,96444,704,1000006283,"Tostenson Septic, LLC",1040 Highway 7 SW,,Montevideo,MN,56265.0,USA,3202692280.0,,https://bigstonelakechamber.com/2016/10/05/tostenson-septic-llc/,10113-000,Plumbers,2006-12-28 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-01-03 08:39:00,Search,200
27,27,95152,95152,704,1000000063,"AdrenaCard, Inc.",PO Box 141191,,Minneapolis,MN,55414.0,USA,7153704855.0,,https://pitchbook.com/profiles/company/168736-15,55336-000,Health & Medical Products,2015-04-14 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-10-14 08:13:00,Search,200
263,263,95389,95389,704,1000001836,Chokio Kafe,112 Main St,,Chokio,MN,56221.0,USA,3203242858.0,,https://www.menupix.com/minnesota/restaurants/2300689/Chokio-Cafe-Chokio-MN,50544-000,Restaurants,2007-01-01 00:00:00,2018-08-28 00:00:00,False,NR,0.0,2.0,,False,Micro-small,False,2022-02-02 09:43:00,Search,200
613,613,95766,95766,704,1000003862,Isle Building Supply,PO Box 24,,Isle,MN,56342.0,USA,3206763132.0,,https://www.facebook.com/people/Isle-discount-supply-and-lumber-yard/100064588733178/,50403-000,Lumber - Retail,1997-01-01 00:00:00,,False,NR,0.0,3.0,0.0,False,Micro-small,False,2023-01-28 08:48:00,Search,200
796,796,95990,95990,704,1000004993,A Hardy Tree Service Inc,10409 Indiana Ave N,,Minneapolis,MN,55443.0,USA,6124086899.0,,http://ahardytreeservice.comcastbiz.net/,00219-000,Tree Service,2010-03-29 00:00:00,2016-12-31 00:00:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,2021-04-30 04:07:00,Search,200
379,379,95505,95505,704,1000002466,Grand Stop,236 Grand Ave. ,,St. Paul,MN,55102.0,USA,6512245414.0,,https://www.exxon.com/en/find-station/mobil-saintpaul-mn-grandstop-200323959,50199-000,Convenience Stores,2013-08-13 00:00:00,,False,C+,77.0,1.0,0.0,False,Micro-small,False,2022-06-10 08:24:00,Search,200
172,172,95297,95297,704,1000001540,The Garage Bar & Grill,3108 9th St S,,Moorhead,MN,56560.0,USA,2182870100.0,,https://www.facebook.com/TheGarageBarPresents/,50544-000,Restaurants,2009-06-11 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-02-01 08:57:00,Search,200
854,854,96049,96049,704,1000005086,Bungum Realty Inc,429 S Minnesota Ave,,Saint Peter,MN,56082.0,USA,5079319081.0,,https://www.realtor.com/realestateagency/589e4809b08f390010570246,60729-000,Real Estate,1987-01-01 00:00:00,2020-01-02 00:00:00,False,NR,0.0,2.0,0.0,False,Micro-small,False,2023-01-09 08:32:00,Search,200
534,534,95686,95686,704,1000003397,Jim&#39;s Painting,3190 Northshore Dr,,Wayzata,MN,55391.0,USA,9524710134.0,,https://www.superpages.com/wayzata-mn/bpp/jims-painting-25776330,10095-000,Painting Contractors,2007-10-31 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-11-01 08:13:00,Search,200
310,310,95436,95436,704,1000002044,Bakken Home Improvements,5925 Goodrich Ave,,Minneapolis,MN,55416.0,USA,9529223152.0,,https://www.facebook.com/bakkenconst/,10035-000,Contractors - General,1996-01-01 00:00:00,,False,NR,0.0,2.0,0.0,False,Micro-small,False,2023-01-30 08:33:00,Search,200
874,874,96069,96069,704,1000005144,Love Thy Neighbor Farm,42463 Forest Lake Blvd,,Harris,MN,55032.0,USA,7635281353.0,,https://www.bizapedia.com/mn/love-thy-neighbor-farm.html,00128-101,Farms - Organic,2014-04-04 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-12-24 08:49:00,Search,200
1084,1084,96287,96287,704,1000005815,Burnsville Collision Center,771 Ladybird Ln,,Burnsville,MN,55337.0,USA,9528902544.0,,https://www.caliber.com/find-a-location/burnsville,60180-000,Car Wash & Polish,,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-01-24 08:58:00,Search,200
635,635,95791,95791,704,1000003957,Super Street Performance,14835 Aberdeen St NE,,Ham Lake,MN,55304.0,USA,6512263109.0,,https://www.whodoyou.com/biz/1311290/super-street-performance-ham-lake-mn,80039-000,Auto Body Shop Equipment & Sup,2013-08-16 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-06-03 09:03:00,Search,200
35,35,95160,95160,704,1000000092,The Lock Up ,6250 Olson Memorial Hyw,,Golden Valley,MN,55444.0,USA,6123140151.0,,https://www.thelockup.com/storage-unit-size-guide/5x10-storage-unit,70610-000,Storage Units - Household & Commercial,,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-10-25 08:10:00,Search,200
673,673,95862,95862,704,1000004502,Hydrostat Inc,330 1st ave se,,Rice,MN,56367.0,USA,3203934881.0,,https://hydrostatinc.com/,80398-000,Industrial Equipment & Supplies,2000-02-17 00:00:00,,False,NR,0.0,10.0,0.0,False,Micro-small,False,2023-01-16 08:36:00,Search,200
408,408,95535,95535,704,1000002773,Belle&#39;s Alterations,1407 S Darling Dr Nw,,Alexandria,MN,56308.0,USA,3207621628.0,,https://belle-view-tailoring.hub.biz/,55093-000,Clothing - Retail,,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-01-30 08:33:00,Search,200
192,192,95317,95317,704,1000001596,Weckert&#39;s Welding Shop,1833 Old East Chub Lake Rd,,Carlton,MN,55718.0,USA,2183844659.0,,https://www.yellowpages.com/carlton-mn/mip/weckerts-welding-shop-25749959,30370-000,Machinery - New,1994-01-01 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-01-31 08:46:00,Search,200
200,200,95325,95325,704,1000001625,Kwardo Auto Sales,7820 riverdale dr nw,,Ramsey,MN,55303.0,USA,7639138477.0,,https://www.yellowpages.com/ramsey-mn/mip/kwardo-auto-sales-526798212,50040-000,Auto Dealers - Used Cars,,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-11-06 09:03:00,Search,200
225,225,95351,95351,704,1000001707,H & H Concrete & Masonry LLC, 	14651 60TH ST SW,,Cokato,MN,55321.0,USA,,,https://www.dandb.com/businessdirectory/hhconcretemasonryllc-cokato-mn-21833770.html,10032-000,Concrete Contractors,2006-02-14 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2021-10-09 04:04:00,Search,200
913,913,96110,96110,704,1000005279,Domino's Pizza(# 1901),215 Oak St SE,,Minneapolis,MN,55414.0,USA,6123313030.0,,https://pizza.dominos.com/minnesota/minneapolis/1901-johnson-st-ne/,50502-000,Pizza ,2016-09-28 00:00:00,,False,A+,97.86,1.0,0.0,False,Micro-small,False,2019-11-20 04:40:00,Search,200
328,328,95454,95454,704,1000002103,"DeGroat Family Feedyards, Inc.",230 Maple St N,,Balaton,MN,56115.0,USA,5077346755.0,,https://radaris.com/p/Bruce/Degroat/,50750-000,Transportation Services,1999-01-05 00:00:00,2016-07-08 00:00:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,2019-07-16 04:28:00,Search,200
929,929,96127,96127,704,1000005341,Carr Project Services Company,5204 Highland Rd,,Minnetonka,MN,55345.0,USA,9522839838.0,,http://www.carrcm.com/,10035-000,Contractors - General,1999-02-02 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2021-03-26 04:05:00,Search,200
485,485,95637,95637,704,1000003024,Schultz Electric Inc,412 25th St Nw,,Minot,ND,58703.0,USA,7018384208.0,,https://schultzelectric.com/,10049-000,Electricians,,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2020-12-16 05:07:00,Search,200
984,984,96183,96183,704,1000005494,Battcher & Aero Electric,PO Box 303,,Arlington,MN,55307.0,USA,5079642216.0,,https://start.cortera.com/company/research/k5n7mzj1j/battcher--aero-electric/,10049-000,Electricians,2006-06-22 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-12-26 08:45:00,Search,200
722,722,95914,95914,704,1000004756,Copper Kitchen,212 S Broadway Ave,,Albert Lea,MN,56007.0,USA,5075521338.0,,https://www.albertleatribune.com/2014/04/ambassadors-welcome-copper-kitchen/,50372-000,Kitchen Accessories,2014-04-01 00:00:00,2016-08-23 00:00:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,2019-08-26 04:11:00,Search,200
204,204,95330,95330,704,1000001639,Mitchel&#39;s Barber & Style,741 Railroad Ave,,Albany,MN,56307.0,USA,3208457010.0,,https://www.facebook.com/profile.php?id=100054497408770,60125-000,Barbers,1988-01-01 00:00:00,,False,NR,0.0,2.0,0.0,False,Micro-small,False,2023-01-30 08:33:00,Search,200
993,993,96194,96194,704,1000005529,Bolton Construction LLC,1631 Dayton Ave,,Saint Paul,MN,55104.0,USA,,,https://www.facebook.com/BoltonConstruction/,10177-000,Construction & Remodeling Services,2009-11-17 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-05-05 08:23:00,Search,200
850,850,96045,96045,704,1000005079,Bruce Schmidt Construction Inc,701 County Road 88 SW,,Alexandria,MN,56308.0,USA,3202836100.0,,https://www.andersonfuneral.net/obituaries/bruce-schmidt,10177-000,Construction & Remodeling Services,2001-07-30 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-12-20 08:57:00,Search,200
745,745,95937,95937,704,1000004813,Vogt Distributing,3004 Lake Chapeau Dr,,Albert Lea,MN,56007.0,USA,5073730327.0,,https://business.albertlea.org/list/member/vogt-distributing-3371,30785-000,Wholesalers & Distributors,2000-11-07 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2019-12-20 03:58:00,Search,200
577,577,95729,95729,704,1000003723,Remax Advantage Plus ,11905 Hwy 65 NE,,Blaine ,MN,55434.0,USA,6123960871.0,,https://www.remax.com/real-estate-offices/remax-advantage-plus-blaine-mn/100424740,60729-000,Real Estate,,,False,A+,100.0,,0.0,False,Micro-small,False,2021-01-28 04:10:00,Search,200
746,746,95938,95938,704,1000004817,Dave Skoog Construction,22 1st Ave NE,,Hutchinson,MN,55350.0,USA,3205873345.0,,https://www.dandb.com/businessdirectory/daveskoogconstruction-hutchinson-mn-35905564.html,10126-000,Roofing Contractors,2002-01-01 00:00:00,2020-01-02 00:00:00,False,NR,0.0,4.0,,False,Micro-small,False,2023-01-09 08:32:00,Search,200
208,208,95334,95334,704,1000001664,Carmex,12800 Whitewater Dr # 110,,Hopkins,MN,55343.0,USA,9529433900.0,,https://www.mycarmex.com/,60539-000,Marketing Programs & Services,,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-06-22 11:35:00,Search,200
1060,1060,96263,96263,704,1000005750,"Dan Erdahl Construction, Inc.",53721 GRANT ST,,Osage,MN,56570.0,USA,6122554583.0,,https://www.bizapedia.com/mn/dan-erdahl-construction-inc.html,10177-000,Construction & Remodeling Services,2003-04-01 00:00:00,2020-10-28 00:00:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-03-18 08:14:00,Search,200
1340,1340,96556,96556,704,1000006692,Ovsak Financial Service,720 5th St N,,Breckenridge,MN,56520.0,USA,2186432679.0,,https://www.askifg.com/team/jay-ovsak,20080-000,Insurance Services,1986-01-01 00:00:00,,False,A+,100.0,3.0,0.0,False,Micro-small,False,2020-01-25 04:31:00,Search,200
936,936,96135,96135,704,1000005373,"Innovative Resource Group, Inc.",18095 87th Ave N,,Osseo,MN,55311.0,USA,6125593238.0,,https://www.innovative-resource.com/,15035-000,Handyman Services,2011-03-30 00:00:00,2020-01-03 00:00:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-01-09 08:32:00,Search,200
741,741,95933,95933,704,1000004807,GoliathTech MN LLC,8830 Xylite St NE,,Minneapolis,MN,55449.0,USA,6126053233.0,,https://goliathtechmn.com/,55433-000,Modular/Mobile Home  - Foundation Services,2015-04-17 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-02-07 09:00:00,Search,200
357,357,95483,95483,704,1000002243,A Reliable Towing,2751 Hennepin Ave PMB 14,,Minneapolis,MN,55408.0,USA,6128256640.0,,https://www.showmelocal.com/profile.aspx?bid=1195324,60103-000,Auto Repair & Service,2007-01-01 00:00:00,,False,NR,0.0,2.0,0.0,False,Micro-small,False,2023-01-30 08:33:00,Search,200
1142,1142,96345,96345,704,1000005963,Azzone Security-Investigation Agency (ASIA) Inc.,1110 Arcade St,,Saint Paul,MN,55106.0,USA,6517744247.0,,https://opencorporates.com/companies/us_mn/da817de0-aad4-e011-a886-001ec94ffe7f,60476-000,Investigators,1984-01-01 00:00:00,,False,NR,0.0,8.0,0.0,False,Micro-small,False,2023-01-24 08:58:00,Search,200
447,447,95597,95597,704,1000002934,Grays Bay Networks Llc,2427 Bantas Point Ln,,Wayzata,MN,55391.0,USA,9524495744.0,,https://www.bizapedia.com/mn/grays-bay-networks-llc.html,60246-000,Computers - Sys Designers & Consult,2009-01-01 00:00:00,,False,NR,0.0,3.0,0.0,False,Micro-small,False,2021-03-13 04:08:00,Search,200
1349,1349,96565,96565,704,1000006717,Countryside Collision,816 6th St N,,Winsted,MN,55395.0,USA,3204854353.0,,https://www.autobody-review.com/shop/i30448/countryside-collision,60094-000,Auto Body Repair & Painting,1993-03-05 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-01-31 08:46:00,Search,200
621,621,95777,95777,704,1000003909,Nichols Companies,1819 Old West Main ,,Red Wing,MN,55066.0,USA,6513886633.0,,https://www.nicholsinn.com/red-wing/local-area-red-wing-mn/,60447-000,Hotels,2008-10-30 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-01-31 08:46:00,Search,200
364,364,95490,95490,704,1000002311,Rock Creek Excavating,PO Box 155,,Fifty Lakes,MN,56448.0,USA,2187632773.0,,https://411.info/business/Rock-Creek-Excavating-Landscaping-Fifty-Lakes-MN-17533059,10050-000,Excavating Contractors,2006-01-01 00:00:00,,False,NR,0.0,2.0,0.0,False,Micro-small,False,2022-07-08 12:28:00,Search,200
654,654,95843,95843,704,1000004363,Seasoned Executive Solutions,5201 Eden Ave # 120,,Minneapolis,MN,55436.0,USA,7632803613.0,,https://www.facebook.com/seasonedexecutivesolutions/,20012-200,Financial Consultants - No License Required ,2016-03-30 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-01-24 08:58:00,Search,200
1171,1171,96374,96374,704,1000006055,Extreme Parts Garage ,916 Adams Ave,,Harvey,ND,58341.0,USA,7013242525.0,,https://www.facebook.com/extremepartsgarage/,60094-000,Auto Body Repair & Painting,2012-09-11 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-02-06 08:28:00,Search,200
543,543,95695,95695,704,1000003463,Sherri's Hair Care,140 Main St E,,Minnewaukan,ND,58351.0,USA,7014735380.0,,https://www.showmelocal.com/profile.aspx?bid=816189,60134-000,Beauty Salons,1994-11-01 00:00:00,,False,A+,100.0,1.0,0.0,False,Small,False,2020-09-16 04:54:00,Search,200
776,776,95970,95970,704,1000004955,Arkhitekton LTD,2428 W 22nd St,,Minneapolis,MN,55405.0,USA,6122034582.0,,https://www.showmelocal.com/profile.aspx?bid=1202204,10177-000,Construction & Remodeling Services,1993-04-21 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-12-20 08:57:00,Search,200
989,989,96188,96188,704,1000005511,Renville Sibley Sanitation,PO Box 296,,Gibbon,MN,55335.0,USA,5078346168.0,,https://www.cityofgibbon.com/index.asp?SEC=9AF77A2A-023B-4A22-8043-1D0C9C6764B3&DE=6128035A-8301-49FE-8D6D-133B8606AB9C&Type=B_BASIC,70595-000,Sanitation Consultants,2010-09-24 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2021-08-31 04:01:00,Search,200
957,957,96156,96156,704,1000005425,Gary R. Dickman Construction,25123 885th Ave,,Austin,MN,55912.0,USA,5074334904.0,,https://radaris.com/p/Gary/Dickman/,10035-000,Contractors - General,1990-01-01 00:00:00,,False,A+,100.0,,0.0,False,Micro-small,False,2020-09-04 04:07:00,Search,200
707,707,95899,95899,704,1000004679,At Your Service-Cleaning and More,PO Box 532,,Moorhead,MN,56561.0,USA,7013612746.0,,http://www.atyourservicecc.com/,66002-000,Cleaning Services,2001-08-23 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-12-06 09:13:00,Search,200
657,657,95846,95846,704,1000004375,Sunrise Senior Living,4950 Olson Memorial Hwy,,Golden Valley,MN,55422.0,USA,7635224000.0,,https://www.aplaceformom.com/community/sunrise-of-golden-valley-137794,85296-200,Senior Housing/Living,2012-01-01 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-06-01 21:27:00,Search,200
892,892,96087,96087,704,1000005218,Ace Construction of Nashwauk,19 1st St,,Nashwauk,MN,55769.0,USA,2188851799.0,,https://www.facebook.com/CharlieAndersonNK/,10035-000,Contractors - General,2008-01-01 00:00:00,,False,NR,0.0,2.0,0.0,False,Micro-small,False,2023-01-29 08:37:00,Search,200
942,942,96141,96141,704,1000005401,"Chateau Brick & Repair, Inc.",2450 W 150th Street,,Shakopee,MN,55379.0,USA,9524960134.0,,https://nextdoor.com/pages/chateau-brick-repair-shakopee-mn/,60201-000,Chimney Cleaning,1987-02-02 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2022-12-26 08:45:00,Search,200
589,589,95741,95741,704,1000003783,Turf Masters,4551 253rd Ave NW,,Isanti,MN,55040.0,USA,6122213222.0,,https://nextdoor.com/pages/turf-masters-isanti-mn/,00155-000,Landscape Contractors,2003-01-01 00:00:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-01-28 08:48:00,Search,200
881,881,96076,96076,704,1000005179,Grand Health Chiropractice and Wellness Center,1025 Selby Ave Ste 101,,Saint Paul,MN,55104.0,USA,6512289000.0,,https://grandhealthchiro.com/,60205-000,Chiropractors D.C.,2014-11-05 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2020-12-06 03:57:00,Search,200
784,784,95978,95978,704,1000004970,Casterton Title & Closing Company,38814 3rd Ave,,North Branch,MN,55056.0,USA,6512577202.0,,https://www.superpages.com/north-branch-mn/title-companies,20072-000,Title Companies & Agents,2001-12-28 00:00:00,2020-01-03 00:00:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,2020-01-04 04:16:00,Search,200
1224,1224,96438,96438,704,1000006264,Corey Hulke Construction,51377 460th Ln,,Courtland,MN,56021.0,USA,5073591050.0,,https://opencorporates.com/companies/us_mn/fe70ab67-8dd4-e011-a886-001ec94ffe7f,10035-000,Contractors - General,2006-04-06 00:00:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,2021-03-20 04:04:00,Search,200
483,483,95635,95635,704,1000003022,Scherrcom,2032 119th Ave Se,,Valley City,ND,58072.0,USA,7018455180.0,,https://www.finduslocal.com/computer-related-services-special-warehousestorage/north-dakota/valley-city/scherrcom_213-central-ave-n/,60235-000,"Computers Hardware, Software & Services",,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2023-01-29 08:36:00,Search,200
