,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,status_code
29,704.0,1000044769,Cass Precision Machining - Heartland Equity Management LLC,4800 N Lilac Drive ,,Brooklyn Center,MN,55429.0,USA,7635350501.0,info@cassprecision.com,https://cassprecisionmachining.com/,30366-000,Machine Shops,1/1/1945 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,8/30/2022 8:18,BBB,200
30,704.0,96036865,Potbelly Sandwich Works,8251 Flying Cloud Dr Ste 2332,,Eden Prairie,MN,55344.0,USA,9528290050.0,,http://www.potbelly.com,50555-000,Sandwiches,1/1/2004 0:00,,False,NR,0.0,25.0,,False,Small,False,9/2/2022 8:26,BBB,200
31,704.0,96190789,CNH Architects,7300 147th St W Ste 504,,Apple Valley,MN,55124.0,USA,9524314433.0,,http://www.cnharch.com,60057-000,Architects,11/12/1969 0:00,,False,A+,100.0,4.0,,False,Small,False,2/4/2023 9:01,BBB,200
32,704.0,1000000143,Lake Country Lawn & Landscape LLC,4475 Forest Lake Lndg,,Mound,MN,55364.0,USA,9523808953.0,lakecountrylawn@gmail.com,http://lakecountrylawnandlandscape.com,00155-000,Landscape Contractors,1/1/2007 0:00,,False,A+,100.0,2.0,0.0,False,Micro-small,False,12/3/2022 9:06,BBB,200
33,704.0,96342152,Visiting Angels,2000 Old West Main St Ste 345,,Red Wing,MN,55066.0,USA,6512126600.0,angelsredwing@comcast.net,http://www.visitingangels.com,85273-000,In-Home Care,12/1/2008 0:00,,False,A+,100.0,4.0,0.0,False,Micro-small,False,5/5/2022 8:23,BBB,200
34,704.0,96185116,Doeren Sales & Associates,217 Macarthur St E,,South St Paul,MN,55075.0,USA,6514931201.0,info@doerensales.com,http://doerensales.com,10086-000,Lighting Consultants,9/1/2006 0:00,,False,A+,100.0,4.0,,False,Micro-small,False,7/30/2020 4:00,BBB,200
35,704.0,96098614,Digital Illusion,6502 Glacier Ln N,,Maple Grove,MN,55311.0,,6126730085.0,bob@digitalillusioninc.com,http://www.digitalillusioninc.com,89000-000,Digital Media,10/1/1996 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,2/9/2023 9:11,BBB,200
36,704.0,1000035550,"Cricket Wireless, LLC",1703 Rice St,,Saint Paul,MN,55113.0,USA,8559246246.0,,http://www.cricketwireless.com,70535-000,Cellular Telephone Service & Supplies,,8/9/2021 0:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,6/1/2022 21:28,BBB,200
37,704.0,96541120,C & C Special Products Company,9640 Humboldt Ave S,,Minneapolis,MN,55431.0,USA,9528810073.0,,http://www.ccspecial.com/,30352-000,Lithographers,4/30/2014 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,7/8/2022 12:28,BBB,200
38,704.0,51001493,Wagner Construction Company Inc,2209 4th St NW,,Austin,MN,55912.0,USA,5074331878.0,,http://www.wagnerconstructioninc.com/,10078-000,Home Builders,1/1/1912 0:00,,False,NR,0.0,12.0,,False,Small,False,2/7/2023 8:59,BBB,200
39,704.0,96096694,Irrigation Management LLC,3500 Vicksburg Ln N Ste 359,,Minneapolis,MN,55447.0,USA,7636841880.0,billing@irrigationmgt.com,http://www.irrigationmgt.com,80404-000,Irrigation Systems & Equipment,1/1/2000 0:00,,False,A+,100.0,5.0,,False,Micro-small,False,2/7/2023 8:59,BBB,200
40,704.0,96043500,"HC Overhead Systems, Inc.",PO Box 10658,,Fargo,ND,58106.0,USA,7017990452.0,jhaakenson@702com.net,https://www.702com.net/,80398-000,Industrial Equipment & Supplies,1/1/2001 0:00,4/27/2016 0:00,False,NR,0.0,5.0,,False,Micro-small,False,4/29/2019 4:01,Email,200
41,704.0,96108500,"Hearing Planet, Inc.",100 Westwood Pl Ste 300,,Brentwood,TN,37027.0,USA,6152485910.0,,http://www.hearingplanet.com,50337-000,Hearing Aids & Assistive Devices,10/27/2008 0:00,,False,NR,0.0,2.0,,False,Micro-small,False,9/20/2016 4:29,BBB,200
42,704.0,1000005709,Trouble's Restaurant,928 6th St,,Howard Lake,MN,55349.0,USA,3205431100.0,,http://www.troublesrestaurant.com,50544-000,Restaurants,3/23/2011 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/24/2022 9:32,BBB,200
43,704.0,1000035429,OneMain Financial,401 40th Ave SW,Ste 141,Minot,ND,58701.0,USA,7018397537.0,,https://www.onemainfinancial.com/,20049-000,Consumer Finance & Loan Companies,,,True,NR,0.0,1.0,0.0,False,Micro-small,False,6/1/2022 21:28,BBB,200
44,704.0,96094666,"Free Geothermal Energy, LLC",2507 Eastwood Ln,,Monticello,MN,55362.0,USA,8779484436.0,bryon@freegeothermalenergy.com,http://www.freegeothermalenergy.com,10182-100,Geothermal Heating & Cooling,1/1/1995 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,11/23/2022 9:42,BBB,200
45,704.0,96594097,Front Street Install Pros,1416 E. Front,,Bismarck,ND,58502.0,USA,7012551636.0,ken@frontstreetmillwork.com,https://www.frontstreetmillwork.com/,10078-000,Home Builders,2/22/2016 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,3/27/2022 8:19,Email,200
46,704.0,24000192,"Hales Machine Tool, Inc.",2730 Niagara Ln N,,Minneapolis,MN,55447.0,USA,7635531711.0,dhales@halesmachinetool.com,http://www.halesmachinetool.com,30367-000,Machine Tools,1/1/1983 0:00,,False,A+,100.0,26.0,,False,Medium,False,1/3/2023 8:39,BBB,200
47,704.0,96488578,"Tilford Contracting, LLC",6530 Balsam Ln N,,Maple Grove,MN,55369.0,USA,7632275952.0,tilfordcontracting@gmail.com,http://www.tilfordcontracting.com,10073-000,Gutters & Downspouts,3/12/2012 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,8/13/2022 8:19,BBB,200
48,704.0,96100558,"Yira Law Office, Ltd.",102 Main St S # 201,,Hutchinson,MN,55350.0,USA,3205870305.0,myira@yiralaw.com,http://www.yiralaw.com,60075-125,Attorneys & Lawyers - Personal Injury & Property Damage,1/1/2000 0:00,,False,A+,100.0,2.0,,False,Micro-small,False,10/7/2021 3:58,BBB,200
49,704.0,1000052331,Sue's Cut & Curl,102 4th St NE,,Fairfax,MN,55332.0,USA,5074267356.0,sgblack@gmail.com,https://m.facebook.com/suescutncurl/?ref=py_c,60134-000,Beauty Salons,1/1/1984 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,2/16/2022 10:07,BBB,200
50,704.0,1000055861,"Front Line Consultants, LLC",4707 Highway 61 N # 1058,,White Bear Lake,MN,55110.0,,9522474335.0,info@flco.us,https://www.flco.us,60789-100,Security Guard Training,4/17/2020 0:00,,True,A+,97.04,2.0,,False,Micro-small,False,2/9/2023 9:12,BBB,200
51,704.0,96155815,Kallsen Internet Consulting LLC,13700 Theresa Pl,,Eden Prairie,MN,55346.0,USA,9529375954.0,,http://www.kallsen-internet-consulting.com,60980-000,Web Design,1/1/2004 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,5/29/2020 3:58,BBB,200
52,704.0,96023428,Electric Motor Supply Company,4650 Main St NE,,Fridley,MN,55421.0,USA,7635719005.0,bbullock@emscomn.com,http://www.emscomn.com,60321-000,Electric Equipment - Service & Repair,11/4/1949 0:00,,True,A+,100.0,30.0,0.0,False,Small,False,1/11/2023 9:00,BBB,200
53,704.0,1000038532,Monticello Auto Body,213 Sandberg Rd,,Monticello,MN,55362.0,USA,7632954122.0,,http://www.monticelloautobody.com,60094-000,Auto Body Repair & Painting,1/1/2001 0:00,,False,A+,100.0,5.0,,False,Micro-small,False,7/15/2020 4:20,BBB,200
54,704.0,96149075,"Galvanizers, Inc.",1202 7th Ave NE,,West Fargo,ND,58078.0,USA,7012823906.0,sales@galvanizersinc.com,http://www.galvanizersinc.com,30255-000,Galvanizing,1/1/1988 0:00,,False,A+,100.0,50.0,0.0,False,Micro-small,False,6/12/2022 8:06,BBB,200
55,704.0,1000016228,Ez-Mow Minnesota LLC,1359 Glenview Rd,,Winona,MN,55987.0,USA,6124608332.0,sam@ezmowmn.com,https://ezmowmn.com/,10035-000,Contractors - General,1/23/2017 0:00,,False,A+,100.0,2.0,0.0,False,Micro-small,False,11/29/2022 9:07,BBB,200
56,704.0,1000008819,"Hafner's Greenhouse, Inc",16925 170th St,,Park Rapids,MN,56470.0,USA,2187328033.0,hafners@unitelc.com,http://www.hafnersgreenhouse.com/,10072-000,Greenhouses,9/4/2003 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,4/30/2020 3:57,BBB,200
57,704.0,96147783,Oak Park Wine & Spirits,5805 Neal Ave N,,Stillwater,MN,55082.0,USA,6514392184.0,,http://www.oakswine.com,50399-000,Liquor Stores,1/1/2009 0:00,6/8/2018 0:00,False,NR,0.0,2.0,,False,Micro-small,False,6/15/2021 4:23,BBB,200
58,704.0,38000697,B & C Plumbing Inc,15 Monroe St SE,,Hutchinson,MN,55350.0,USA,3202346900.0,bobarthur10@hotmail.com,http://www.b-cplumbing.com,10113-000,Plumbers,9/1/1997 0:00,,False,A+,100.0,8.0,,False,Small,False,1/10/2023 8:48,BBB,200
59,704.0,1000013202,Feline Snoozers Pack N Nap,18640 Harrow Ave N,,Forest Lake,MN,55025.0,USA,6514643294.0,nancy@felinesnoozers.com,http://www.felinesnoozers.com,50486-000,Pet Supplies & Foods - Retail,7/3/2008 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,9/10/2021 4:01,BBB,200
60,704.0,1000018887,Sharp-Edge Hardwood Floors LLC,24948 Hawthorn Rd,,Pierz,MN,56364.0,USA,7632621600.0,sharpedgefloors@hotmail.com,http://www.sharpedgefloors.com/,15058-000,Hardwood Floor Contractors,4/13/2005 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,5/12/2021 4:36,BBB,200
61,704.0,96199515,Jag Adjusting,15067 County Road 44,,Annandale,MN,55382.0,USA,3202742506.0,jody@jagadjusting.com,http://www.jagadjusting.com,20080-000,Insurance Services,1/1/2008 0:00,,False,A+,100.0,20.0,,False,Micro-small,False,6/15/2021 4:23,BBB,200
62,704.0,96133000,"Associated Finishing, Inc.",320 Mallard Ln,,Mankato,MN,56001.0,USA,5073455861.0,,http://www.associatedfinishing.com,80474-000,Metal Finishers,1/1/1984 0:00,,False,A+,100.0,85.0,0.0,False,Small,False,1/26/2023 8:50,BBB,200
63,704.0,96085590,Banner Engineering Corporation,9714 10th Ave N,,Minneapolis,MN,55441.0,USA,7635443164.0,,http://www.bannerengineering.com,60334-000,Engineers - Professional,1/1/1966 0:00,,False,A+,100.0,250.0,,False,Medium,False,11/23/2022 9:42,BBB,200
64,704.0,96092901,Widseth Smith Nolting & Associates Inc,216 S Main St Ste 1,,Crookston,MN,56716.0,USA,2182816522.0,crookston@wsn.us.com,http://www.widsethsmithnolting.com,60335-000,Engineering Contractors - General,1/13/1975 0:00,,False,A+,100.0,180.0,0.0,False,Small,False,10/22/2022 8:10,BBB,200
65,704.0,1000002457,Giefer Sales Company,630 Weston Ridge Pkwy,,Chaska,MN,55318.0,USA,6127474804.0,csteffensen@giefersales.com,http://www.giefersales.com/,85278-100,Metal Fabricating Machinery,1/2/1963 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,10/10/2022 7:59,BBB,200
66,704.0,1000051493,Pit Stop Express Lube,117 4th St NW,,Jamestown,ND,58401.0,USA,7019527867.0,pitstop@daktel.com,https://www.facebook.com/profile.php?id=100063744212053,60523-000,Lubricating Service - Automotive,12/2/2017 0:00,,True,A+,100.0,5.0,,False,Micro-small,False,1/28/2023 8:48,BBB,200
67,704.0,1000004622,Tri-County Organics,40 35th Ave NE,,Saint Cloud,MN,56304.0,USA,3204933270.0,,http://tri-countyorganics.com,86500-000,Composting Systems,7/30/2012 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,3/22/2020 4:00,BBB,200
68,704.0,1000022018,Advanced Plumbing & Drain Cleaning,311 3rd Ave SE,,E Grand Forks,MN,56721.0,USA,7017395460.0,jsuedel@rocketmail.com,https://www.facebook.com/Advanced-Plumbing-Drain-Cleaning-370156813470297/,10113-000,Plumbers,3/8/2018 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,7/20/2022 9:11,BBB,200
69,704.0,96144080,Klimpel Excavating Inc,1900 Parkside Dr,,Minot,ND,58701.0,USA,7018384406.0,klimpel@srt.com,https://www.srt.com/,10050-000,Excavating Contractors,8/1/1992 0:00,,False,A+,100.0,3.0,,False,Micro-small,False,5/19/2021 4:27,Email,200
70,704.0,96538701,Personnel Resources LLC,900 American Blvd E,,Minneapolis,MN,55420.0,USA,9523033042.0,wclayton@partnerwithexperts.com,http://www.partnerwithexperts.com,60326-000,Employment Agencies,,,False,A+,100.0,1.0,,False,Micro-small,False,4/29/2022 8:16,BBB,200
71,704.0,932,"Rental Research Services, Inc.",7525 Mitchell Rd Ste 301,,Eden Prairie,MN,55344.0,USA,9529355700.0,Lee.Mikkelson@rentalresearch.com,http://www.RentalResearch.com,85294-000,Screening - Tenant,1/1/1969 0:00,,False,A+,100.0,20.0,,False,Large,False,3/11/2021 4:07,BBB,200
72,704.0,96295889,Today&#39;s Driving School,100 Century Avenue SE,,Hutchinson,MN,55350.0,USA,8443748315.0,tim@todaysdrivingschool.com,http://www.todaysdrivingschool.com,60309-101,Auto Driving School,6/1/2002 0:00,,False,A+,100.0,14.0,0.0,False,Medium,False,2/2/2023 8:52,BBB,200
73,704.0,96037942,Minnesota Carpet Outlet,2421 Coon Rapids Blvd NW,,Minneapolis,MN,55433.0,USA,7637577322.0,minnesotacarpet@live.com,https://www.live.com/,50133-000,Carpet & Rug Dealers - New,2/28/1998 0:00,,False,A+,100.0,3.0,,False,Small,False,12/10/2022 9:02,Email,200
74,704.0,1000019754,Photopixels,2885 Knox Ave S Ste 805,,Minneapolis,MN,55408.0,USA,6127412345.0,,http://Photopixels.com,60655-100,Photographers,2/1/1999 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,1/1/2020 7:41,BBB,200
75,704.0,96223962,Mortgage & Investment Cnsltnt,26 6th Ave N Ste 220,,Saint Cloud,MN,56303.0,USA,3202020222.0,,http://Nationwidemortgageinc.com,20053-000,Mortgage Brokers,,6/16/2017 0:00,False,NR,0.0,5.0,,False,Micro-small,False,6/22/2020 3:55,BBB,200
76,704.0,96083101,Interstate Detroit Diesel,1921 S 16th Ave,,Virginia,MN,55792.0,USA,2187494484.0,trdmonds@istate.com,http://www.istate.com,60340-000,Engines - Fuel Injection Service & Parts,1/1/2000 0:00,,False,A+,100.0,7.0,,False,Micro-small,False,6/15/2022 9:01,BBB,200
77,704.0,96153748,National Karate,9770 Schreiber Ter N,,Minneapolis,MN,55445.0,USA,7634248868.0,,http://www.nationalkarate.com,60541-000,Martial Arts,1/1/1997 0:00,,False,A+,100.0,2.0,,False,Micro-small,False,8/1/2019 4:20,BBB,200
78,704.0,96090127,"Boe Ornamental Iron, Inc.",484 Lilac St,,Lino Lakes,MN,55014.0,USA,6517802627.0,dave@boeironinc.com,http://www.boeironinc.com,30438-000,Ornamental Metal Work,1/1/1979 0:00,,False,A+,100.0,10.0,,False,Micro-small,False,4/20/2022 8:35,BBB,200
79,704.0,15000912,Select Properties,1621 W Saint Germain St,,Saint Cloud,MN,56301.0,USA,3202531154.0,,http://www.selectprop.com,61003-000,Real Estate - Rentals by Individuals,1/1/1993 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,7/26/2022 8:43,BBB,200
80,704.0,1000038120,Aset Supply & Paper Inc,7600 Boone Ave N Ste 71,,Brooklyn Park,MN,55428.0,USA,7634327263.0,customerservice@asetsupplyandpaper.com,http://www.asetsupplyandpaper.com/,80515-000,Office Supplies,1/21/1998 0:00,,False,A+,100.0,50.0,0.0,False,Medium,False,2/8/2023 9:28,BBB,200
81,704.0,96289069,Schaefer Vermeer Equipment LLP,11234 25th St SE,,Valley City,ND,58072.0,USA,7016466089.0,bigyellowironag@yahoo.com,https://bigyellowironag.wixsite.com/schaefervermeer,00103-000,Agricultural Services,3/21/2021 0:00,,False,A,94.52,6.0,0.0,False,Micro-small,False,1/10/2023 8:49,BBB,200
82,704.0,11164,Reed's Sales & Service,1260 Payne Ave,,Saint Paul,MN,55130.0,USA,6517749515.0,tool.repairmn@comcast.net,http://www.reedssalesandservice.com,50665-000,Tools - Electric,1/1/1956 0:00,,False,A+,100.0,4.0,,False,Large,False,4/2/2022 8:47,BBB,200
83,704.0,1000049757,Morrison Sund PLLC,"5125 County Road 101, Suite 200",,Minnetonka,MN,55345.0,USA,9529750050.0,kquarberg@morrisonsund.com,https://www.morrisonsund.com/,60075-112,Attorneys & Lawyers - Bankruptcy,11/25/1991 0:00,,False,A+,100.0,30.0,,False,Small,False,2/3/2023 9:13,BBB,200
84,704.0,96005969,"C & D Granite, LLC",767 1st St SE,,Richmond,MN,56368.0,USA,7635660522.0,brads@cdgranite.com,http://www.cdgranite.com,50191-000,Countertops,1/1/1994 0:00,,True,A+,100.0,36.0,0.0,False,Small,False,1/10/2023 8:48,BBB,200
85,704.0,96562173,CentraCare Health-Monticello,1013 Hart Blvd,,Monticello,MN,55362.0,USA,7632712384.0,eidemh@centracare.com,http://www.centacare.com,60445-000,Hospitals,3/6/2013 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,11/2/2022 8:36,BBB,200
86,704.0,96030038,Western States Envelope,980 Berwood Ave Ste 400,,Vadnais Heights,MN,55110.0,USA,6517738723.0,brad.cain@westernstatesenvelope.com,http://www.westernstatesenvelope.com/,80277-000,Envelopes - Wholesale & Manufacturers,6/10/1908 0:00,,False,NR,0.0,9.0,,False,Small,False,12/22/2022 9:08,BBB,200
87,704.0,96380533,Northland Polaris,131 Main St W,,Eagle Bend,MN,56446.0,USA,2187382582.0,sales@northlandpolaris.com,http://www.northlandpolaris.com,50595-000,Snowmobiles,1/1/1988 0:00,,False,A+,100.0,7.0,,False,Micro-small,False,10/14/2021 4:03,BBB,200
88,704.0,96354817,Selam Hospitality Services,15571 Finch Ave,,Saint Paul,MN,55124.0,USA,9529977778.0,abera@shshospitality.com,http://www.shshospitality.com,60478-000,Janitor Service,2/25/1999 0:00,,False,A+,100.0,6.0,,False,Small,False,1/7/2021 3:52,BBB,200
