,BBBID,BusinessID,BusinessName,StreetAddress,StreetAddress2,City,StateProvince,PostalCode,Country,Phone,Email,Website,TOBID,TOBDescription,DateBusinessStarted,DateBusinessClosed,IsBBBAccredited,BBBRatingGrade,BBBRatingScore,NumberOfEmployees,NumberOfPartTimeEmployees,IsHQ,SizeOfBusiness,IsCharity,CDWLastUpdate,FoundVia,contains_contacts_page,contains_business_name,contains_business_name_in_copyright,contains_social_media_links,contains_reviews_page,contains_zipCode,url_contains_phone_number,url_contains_email,manually_checked,url_is_review_page
10,704,1000005443,J Nordstrom Plumbing,4820 69th Ave N,,Minneapolis,MN,55429.0,USA,7635490989.0,,https://nextdoor.com/pages/j-nordstrom-plumbing-minneapolis-mn/,10003-000,Air Conditioning Contractors & Systems,1/1/2001 0:00,,False,NR,0.0,3.0,0.0,False,Micro-small,False,1/24/2023 8:58,Search,,,,,,,,,0,
11,704,1000006485,Rugby Manufacturing Company,515 1ST ST NE,,Rugby,ND,58368.0,USA,7017765722.0,,https://www.rugbymfg.com/,50685-100,Truck accessories,11/19/1999 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,11/3/2017 3:55,Search,,,,,,,,,1,
12,704,1000006548,Belicious Wear,0,,Fargo,ND,58104.0,USA,2182517078.0,,https://www.facebook.com/petroserveusa/?locale=vi_VN,50310-000,Gift Shops,,,False,NR,0.0,,,False,Micro-small,False,11/5/2019 4:31,Search,,,,,,,,,0,
13,704,1000000037,Peltier Plumbing,1023 Dwane St,,South Saint Paul,MN,55075.0,USA,6514556574.0,,https://nextdoor.com/pages/peltier-plumbing-south-saint-paul-mn/,10003-000,Air Conditioning Contractors & Systems,8/30/2010 0:00,,False,NR,0.0,3.0,0.0,False,Micro-small,False,4/13/2022 8:06,Search,,,,,,,,,0,
14,704,1000001592,All - Type Construction,5585 274th Street,,Wyoming,MN,55092.0,USA,6127018139.0,,https://up.codes/viewer/wyoming/ibc-2018/chapter/6/types-of-construction,10177-000,Construction & Remodeling Services,,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/31/2023 8:45,Search,,,,,,,,,0,
15,704,1000005895,VP Tutoring LLC,22730 Danube St NE,,Stacy,MN,55079.0,USA,6514649987.0,,https://www.superpages.com/stacy-mn/bpp/vp-tutoring-472527361,60912-000,Tutoring,6/4/2008 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,12/15/2017 4:07,Search,,,,,,,,,0,
16,704,1000000200,Rita's Ice & Custard ,10700 France Ave #104,,Bloomington,MN,55437.0,USA,6512075727.0,,https://www.ritasice.com/,50544-000,Restaurants,3/3/2016 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,4/16/2022 8:14,Search,,,,,,,,,1,
17,704,1000000096,MOKE Properties LLC,1220 Sumac Circle,,Fergus Falls,MN,56537.0,USA,,,https://www.dandb.com/businessdirectory/mokepropertiesllc-fergusfalls-mn-33887158.html,60732-000,Property Management,,,False,NR,0.0,1.0,0.0,False,Micro-small,False,6/3/2022 9:03,Search,,,,,,,,,0,
18,704,1000005485,George Siegfried Construction,510 Perro Creek Dr,,Bayport,MN,55003.0,USA,6512751112.0,,https://www.siegfriedconstruction.com/,10035-000,Contractors - General,1/1/1984 0:00,,False,A+,100.0,17.0,0.0,False,Micro-small,False,9/4/2020 4:07,Search,,,,,,,,,1,
19,704,1000002834,Paul Volstad Accounting,10700 Highway 55 Ste 225,,Minneapolis,MN,55441.0,USA,7635531875.0,,https://www.accounting8.com/Accountant/Paul-S-Volstad-Paul-Volstad-Accounting-Mayer-MN-8539209.htm,60005-000,Accountants,6/29/2010 0:00,,False,NR,0.0,5.0,0.0,False,Micro-small,False,1/29/2023 8:36,Search,,,,,,,,,0,
20,704,1000004361,Power Transmission,2930 W Superior St,,Duluth,MN,55806.0,USA,2186244876.0,,"https://duluthmncoc.weblinkconnect.com/Truck-Repair-Service/Power-Transmission,-Inc-702",30524-000,Power Transmission Equipment,1/7/1980 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,12/4/2022 9:03,Search,,,,,,,,,0,
21,704,1000005531,Gohman Brothers Lawn & Snow,16572 Sycamore Street NW,,Andover,MN,55304.0,USA,7637679345.0,,https://www.truckdrivingjobs.com/companies/55008168f5e62a5ba7e11760,70605-000,Snow Removal Service,6/13/1994 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,11/17/2022 9:21,Search,,,,,,,,,0,
22,704,1000005913,Thor's Hammer LLC,1300 Parkview Ct,,Chaska,MN,55318.0,USA,9529136279.0,,https://opencorporates.com/companies/us_mn/eda9f970-95d4-e011-a886-001ec94ffe7f,10177-000,Construction & Remodeling Services,3/16/2010 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,10/22/2021 3:45,Search,,,,,,,,,0,
23,704,1000001799,L A Rossman Distributing Inc,1902 Park Ave S,,Park Rapids,MN,56470.0,USA,2187323276.0,,https://business.parkrapids.com/list/member/l-a-rossman-distributing-inc-2424,10182-000,Heating & Air Conditioning,1/1/1984 0:00,,False,A+,100.0,4.0,0.0,False,Micro-small,False,10/14/2020 4:45,Search,,,,,,,,,0,
24,704,1000004899,NRG Auto Repair,15650 Heille Ridge Ln,,Detroit Lakes,MN,56501.0,USA,2188472202.0,,https://locations.autovalue.com/mn/detroit-lakes/496573/,60107-700,Auto Repair - Maintenance,4/4/1997 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,12/20/2022 8:57,Search,,,,,,,,,1,
25,704,1000000145,3-D Lawn Care LLC,35628 710th St,,Round Lake,MN,56167.0,USA,5073606084.0,,https://m.facebook.com/people/3D-Lawncare/100064703209012/,50388-000,Lawn Mowers,11/20/2014 0:00,,False,A+,100.0,1.0,,False,Micro-small,False,2/2/2023 8:52,Search,,,,,,,,,0,
26,704,1000006329,Agri News,18 se 1st ave,,Rochester,MN,55904.0,USA,8005331727.0,,https://www.postbulletin.com/news/agri-news-will-merge-with-sister-paper-agweek,60608-000,News Service,5/7/1981 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,4/12/2022 9:15,Search,,,,,,,,,0,
27,704,1000003010,Pine Country Carpet & Cabinets,19389 Us 71,,Park Rapids,MN,56470.0,USA,2182372340.0,,https://local.echopress.com/park-rapids-mn/pine-country-carpet-and-cabinets-218-237-2340,50133-000,Carpet & Rug Dealers - New,1/1/2002 0:00,,False,NR,0.0,4.0,0.0,False,Micro-small,False,1/29/2023 8:36,Search,,,,,,,,,0,
28,704,1000004203,Roers Family Bakery,430 Broadway St,,Alexandria,MN,56308.0,USA,3207634741.0,,https://www.menupix.com/minnesota/restaurants/250668699/Roers-Family-Bakery-Alexandria-MN,50052-000,Bakers - Retail,1/1/1984 0:00,,False,NR,0.0,8.0,0.0,False,Micro-small,False,1/27/2023 9:08,Search,,,,,,,,,0,
29,704,1000002456,Randys Mobile Marine & ATV Repair,1520 Highway 5 NW,,Westhope,ND,58793.0,USA,7018376245.0,,https://m.facebook.com/people/Randys-Mobile-Marine/100054358969048/,30050-000,Boat Repair,11/22/2016 0:00,12/5/2016 0:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,8/13/2021 4:18,Search,,,,,,,,,0,
30,704,1000003080,Team Liquor,19 S 7th St,Nicollet Mall,Minneapolis,MN,55402.0,USA,6123759487.0,,https://www.bizjournals.com/twincities/news/2018/01/02/team-liquor-store-closes-in-downtown-minneapolis.html,50399-000,Liquor Stores,2/29/2008 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,10/18/2022 8:16,Search,,,,,,,,,0,
31,704,1000002835,Gallery Stillwater,324 Main St S Ste 6,,Stillwater,MN,55082.0,USA,6514302620.0,,https://artguildgallery.com/,55093-000,Clothing - Retail,3/18/1988 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,7/21/2017 3:49,Search,,,,,,,,,1,
32,704,1000001514,Monticello Bait & Tackle,1213 Highway 25 S,,Monticello,MN,55362.0,USA,7632951187.0,,https://www.yellowpages.com/monticello-mn/bait-shop,50608-000,Sporting Goods - Retail,1/1/2009 0:00,5/13/2016 0:00,False,NR,0.0,6.0,,False,Micro-small,False,5/20/2019 4:18,Search,,,,,,,,,0,
33,704,1000002126,Rube&#39;s Barber & Hair Styling,104 Front St S,,Barnesville,MN,56514.0,USA,2183542237.0,,https://www.barbershops.net/barbers/15968/rubes-barber-and-hair-styling/,60125-000,Barbers,1/1/1984 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/30/2023 8:34,Search,,,,,,,,,0,
34,704,1000002981,John&#39;s Auto Repair,211 Main Ave W,,Winsted,MN,55395.0,USA,3204854321.0,,https://www.loc8nearme.com/minnesota/winsted/johns-auto-repair/4322058/,60103-000,Auto Repair & Service,1/1/1992 0:00,,False,NR,0.0,2.0,0.0,False,Micro-small,False,1/29/2023 8:36,Search,,,,,,,,,0,
35,704,1000000005,Karja Construction,2781 62nd St Nw,,Maple Lake,MN,55358.0,USA,6129681882.0,,https://www.buildzoom.com/contractor/karja-construction-inc,10177-000,Construction & Remodeling Services,1/1/2001 0:00,,False,NR,0.0,3.0,0.0,False,Micro-small,False,1/31/2023 8:46,Search,,,,,,,,,0,
36,704,1000000069,Digi Labs,294 Grove Ln E,,Wayzata,MN,55391.0,USA,,,https://digi-labs.business.site/,30567-000,Robots,4/5/2016 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/12/2022 9:24,Search,,,,,,,,,1,
37,704,1000001310,Nathan L. Egge Painting LLC,1009 9th Ave N,,Princeton,MN,55371.0,USA,7633895160.0,,https://clustrmaps.com/amp/person/Egge-97sh92,10095-000,Painting Contractors,4/10/2009 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,11/20/2022 8:59,Search,,,,,,,,,0,
38,704,1000004811,Tic Toc Digital Printing Plus,2401 Myers Rd,,Albert Lea,MN,56007.0,USA,5073732663.0,,https://business.albertlea.org/list/member/tic-toc-digital-printing-plus-albert-lea-3927,30531-100,Image & Graphics Printing,8/4/2005 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,11/8/2022 9:19,Search,,,,,,,,,0,
39,704,1000005501,Lensing Insurance,325 W Main St,,Arlington,MN,55307.0,USA,5079645565.0,,https://www.progressiveagent.com/local-agent/minnesota/arlington/lensing-insurance-agency-inc/,20021-000,Insurance - Auto,10/23/1978 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,3/5/2021 4:00,Search,,,,,,,,,0,
40,704,1000006008,P K Building Services Inc,10315 96th Ave N,,Maple Grove,MN,55369.0,USA,7634243136.0,,https://www.facebook.com/PKPropertyServicesLLC/,60478-000,Janitor Service,9/12/1997 0:00,,False,NR,0.0,3.0,0.0,False,Micro-small,False,1/24/2023 8:58,Search,,,,,,,,,0,
41,704,1000001789,Tree Works,1605 7th St,,Saint Paul,MN,55110.0,USA,6514264560.0,,https://www.stpaul.gov/departments/parks-and-recreation/natural-resources/forestry/boulevard-tree-permit/licensed-tree,00219-000,Tree Service,6/23/2004 0:00,,False,NR,0.0,2.0,0.0,False,Micro-small,False,1/30/2023 8:33,Search,,,,,,,,,0,
42,704,1000005092,C.A.P. Renovations LLC,660 W 12th St,,Rush City,MN,55069.0,USA,6127094352.0,,http://www.caprenovations.com/contact-us.html,10177-000,Construction & Remodeling Services,8/20/2009 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,12/20/2022 8:57,Search,,,,,,,,,1,
43,704,1000004739,Ken Sather Construction,612 10th St,,Dawson,MN,56232.0,USA,3207692809.0,,https://opencorporates.com/companies/us_mn/96b1f307-93d4-e011-a886-001ec94ffe7f,10177-000,Construction & Remodeling Services,1/15/2009 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/3/2023 9:12,Search,,,,,,,,,0,
44,704,1000002236,9999 Limousine Service,8456 Blazing Star Cir,,Shakopee,MN,55379.0,USA,6128229999.0,,https://etilimo.com/,50750-000,Transportation Services,1/1/2008 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/30/2023 8:33,Search,,,,,,,,,0,
45,704,1000006647,Drew Design & Management Inc,1917 Greenfield Ln SW,,Rochester,MN,55902.0,USA,5079901499.0,,https://start.cortera.com/company/research/k3p2qsl8k/drew-design--management-inc/,10035-000,Contractors - General,8/7/1996 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,6/10/2022 8:24,Search,,,,,,,,,0,
46,704,1000005147,Lynn Fishing Tackle,205 Hickory St,,Saint Paul,MN,55115.0,USA,6516531099.0,,https://www.bizapedia.com/mn/lynn-fishing-tackle.html,80311-000,Fishing Tackle - Wholesale & Manufacturers,6/24/2014 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,12/24/2022 8:49,Search,,,,,,,,,0,
47,704,1000001446,A + Home Services,3451 Interlachen Dr Ne,,Andover,MN,55304.0,USA,7634138809.0,,https://www.heatingandcoolingstore.com/,50403-000,Lumber - Retail,1/1/2005 0:00,,False,NR,0.0,1.0,,False,Micro-small,False,6/7/2022 8:10,Search,,,,,,,,,0,
48,704,1000000196,Kuck Construction,13917 56th St SE,,Sheldon,ND,58068.0,USA,7017998915.0,,https://www.yellowpages.com/sheldon-nd/mip/kuck-construction-469063669,10035-000,Contractors - General,1/1/2007 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/2/2023 8:52,Search,,,,,,,,,0,
49,704,1000004478,Board by Board ,9745 103rd St. Ct. N. ,,Stillwater,MN,55082.0,USA,6513435088.0,,https://www.stillwaterschools.org/our-district/school-board,15058-000,Hardwood Floor Contractors,1/1/2002 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/23/2021 4:07,Search,,,,,,,,,0,
50,704,1000002949,Grey Eagle Transport Corp,119 Cedar St S,,Grey Eagle,MN,56336.0,USA,3202853195.0,,https://www.showmelocal.com/profile.aspx?bid=1176044,50750-000,Transportation Services,,12/10/2019 0:00,False,NR,0.0,1.0,,False,Micro-small,False,12/12/2022 9:00,Search,,,,,,,,,0,
51,704,1000006426,Ascend Chiropractic,200 E Travelers Trl,,Burnsville,MN,55337.0,USA,9522294425.0,,https://orthopedic.io/chiropractic-clinic/ascend-chiropractic-wellness-llc-burnsville-mn/,60205-000,Chiropractors D.C.,1/25/2016 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,11/23/2020 3:56,Search,,,,,,,,,0,
52,704,1000006759,"Conzemius Oil, Inc.",513 5th st,PO Box 28,Breckenridge,MN,56520.0,USA,2186436789.0,,https://www.bloomberg.com/profile/company/0418887D:US,30432-000,Oils - Petroleum,4/24/1998 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,6/7/2022 8:10,Search,,,,,,,,,0,
53,704,1000002016,Lennar Constuction LLC,8524 Packard Ave NE,,Elk River,MN,55330.0,USA,7635599293.0,,https://www.newhomesource.com/communities/mn/minneapolis-st.-paul-area/elk-river/builder-lennar-644,10035-000,Contractors - General,8/30/2010 0:00,,False,NR,0.0,2.0,0.0,False,Micro-small,False,4/1/2022 18:59,Search,,,,,,,,,0,
54,704,1000001474,"Eagle Construction Company, Inc.",515 9th Avenue NW,,Little Falls,MN,56345.0,USA,3206325429.0,,https://eaglecci.net/,10177-000,Construction & Remodeling Services,1/10/1973 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,6/15/2022 9:02,Search,,,,,,,,,1,
55,704,1000002087,G Thomas Construction,13750 10th St N,,Stillwater,MN,55082.0,USA,6514366599.0,,https://gthomasconstruction.com/,10035-000,Contractors - General,1/1/2008 0:00,,False,NR,0.0,2.0,0.0,False,Micro-small,False,1/30/2023 8:33,Search,,,,,,,,,1,
56,704,1000006151,Barry Markus Remodeling Inc,3628 pillsbury Ave S,,Minneapolis,MN,55409.0,USA,6122722843.0,,https://www.homeyou.com/barry-markus-remodeling-inc-minneapolis-mn,10177-100,Basement - Remodeling,6/8/2004 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,6/11/2022 8:14,Search,,,,,,,,,0,
57,704,1000006223,Cryptid Hair Parlour,2358 Stinson Blvd,,Minneapolis,MN,55418.0,USA,6123547328.0,,https://www.cryptidhair.com/,60420-000,Hair Styling and Services,3/21/2016 0:00,,False,A+,99.47,1.0,0.0,False,Micro-small,False,1/4/2020 4:16,Search,,,,,,,,,1,
58,704,1000005841,Agri-Resources,5621 53rd Ave S,,Fargo,ND,58104.0,USA,7012773221.0,,https://agriresources.ag/,00103-000,Agricultural Services,10/17/2000 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/2/2023 8:49,Search,,,,,,,,,1,
59,704,1000005785,Advanced Electric Company Inc,4132 Hull Rd,,Hopkins,MN,55305.0,USA,9529351329.0,,https://www.whodoyou.com/biz/38942/advanced-electric-co-inc-hopkins-mn,10049-000,Electricians,9/22/1970 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,9/22/2022 8:57,Search,,,,,,,,,0,
60,704,1000003466,Scotty's Transmission Repair LLC,3974 State Highway 55 SE,,Buffalo,MN,55313.0,USA,7634387406.0,,https://opencorporates.com/companies/us_mn/2832deaa-1cd0-e511-8164-00155d01c56d,60902-000,Transmissions - Automobile,2/10/2016 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,3/25/2022 8:41,Search,,,,,,,,,0,
61,704,1000005089,Curtis Buysee Construction,1961 County Road 10,,Minneota,MN,56264.0,USA,5075305906.0,,https://partnercarrier.com/MN/MINNEOTA/CURTIS-BUYSSE-CONSTRUCTION-USDOT-2819415,10177-000,Construction & Remodeling Services,6/14/2007 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/6/2021 4:29,Search,,,,,,,,,0,
62,704,1000003835,"Eric&#39;s Custom Carpentry, LLC",2014 E 4th St,,Duluth,MN,55812.0,USA,2183409146.0,,https://duluthcarpentry.com/,10019-000,Carpenters,12/21/2010 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,11/17/2022 9:21,Search,,,,,,,,,1,
63,704,1000004953,Koala-T Enterprises,1391 Pineview Ln. N.,,Dayton,MN,55327.0,USA,,,https://www.facebook.com/profile.php?id=100064095487893,62100-000,Online Retailer,,1/6/2020 0:00,False,NR,0.0,1.0,,False,Micro-small,False,1/9/2023 8:32,Search,,,,,,,,,0,
64,704,1000003699,Optimal REO Solutions,7825 Washington Ave,,Eden Prairie,MN,55439.0,,8005489765.0,,https://www.scampulse.com/reo-solutions-reviews,85363-000,Online Social Media/Networking,,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/9/2023 9:12,Search,,,,,,,,,1,
65,704,1000000038,Lakeside Lawn & Landscape,9166 Schaller Rd,,Pequot Lakes,MN,56472.0,USA,2185436726.0,,https://lakesidelandscapeinc.com/,00155-000,Landscape Contractors,1/1/1988 0:00,,False,NR,0.0,15.0,0.0,False,Micro-small,False,8/23/2022 8:27,Search,,,,,,,,,1,
66,704,1000000176,Lakeland Electric Inc.,1312 Mckay Dr NE,,Ham Lake,MN,55304.0,USA,7632454346.0,,https://lakelandelec.com/,10049-000,Electricians,5/6/2014 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,4/16/2022 8:14,Search,,,,,,,,,1,
67,704,1000001877,"Tanner Johnson Custom Builders, LLC",PO Box 102,,Pine River,MN,56474.0,USA,2188206761.0,,https://opencorporates.com/companies/us_mn/9d24e172-c00a-e511-b14d-001ec94ffe7f,10035-000,Contractors - General,6/4/2015 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,6/4/2022 8:45,Search,,,,,,,,,0,
68,704,1000001856,"Scott James Homes, LLC",7300 Hudson Blvd N Ste 200,,Landfall Vlg,MN,55128.0,USA,7639540124.0,,https://www.co.washington.mn.us/Archive.aspx?ADID=1136,10035-000,Contractors - General,4/7/2015 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,6/4/2022 8:45,Search,,,,,,,,,0,
69,704,1000005423,Gene Dornink Carpentry LLC,74427 170th Ave,,Hayfield,MN,55940.0,,5072068449.0,,https://dev.austincoc.com/list/member/gene-dornink-carpentry-llc-12487.htm,10019-000,Carpenters,2/12/2010 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,2/9/2023 9:12,Search,,,,,,,,,0,
70,704,1000003599,Papa Murphy's Take and Bake,1845 Highway 59 S,,Thief Rvr Fls,MN,56701.0,USA,2186835129.0,,https://locations.papamurphys.com/mn/thief-river-falls/1845-hwy-59-south,50502-000,Pizza ,,,False,NR,0.0,,0.0,False,Micro-small,False,1/29/2020 6:33,Search,,,,,,,,,1,
71,704,1000001971,Mec Store,101 4th Ave NE,,Mandaree,ND,58757.0,USA,7017593609.0,,https://www.yellowpages.com/mandaree-nd/mip/mec-store-535053012,50567-000,Service Stations - Gasoline & Oil,1/1/2005 0:00,,False,NR,0.0,7.0,0.0,False,Micro-small,False,1/30/2023 8:33,Search,,,,,,,,,0,
72,704,1000006454,Byrnes Cleaning Inc,9526 172nd Ave Se,,Becker,MN,55308.0,USA,6128125019.0,,https://clustrmaps.com/a/7hrib/,66002-000,Cleaning Services,8/28/2013 0:00,5/5/2021 0:00,False,NR,0.0,1.0,0.0,False,Micro-small,False,7/12/2022 8:33,Search,,,,,,,,,0,
73,704,1000001486,Northwest Glass & Service,PO Box 505,,Pelican Rapids,MN,56572.0,USA,2188634442.0,,https://www.yellowpages.com/pelican-rapids-mn/mip/northwest-glass-services-470121013,50476-000,Paint - Retail,1/1/2005 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,1/31/2023 8:46,Search,,,,,,,,,0,
74,704,1000003047,Tow Time,23501 Capella St Ne,,Minneapolis,MN,55408.0,USA,6125011815.0,,https://towing-companies.cmac.ws/tow-time-inc/47850/,60103-000,Auto Repair & Service,1/1/2008 0:00,,False,NR,0.0,2.0,0.0,False,Micro-small,False,1/29/2023 8:36,Search,,,,,,,,,0,
75,704,1000005978,David R Savage Llc,18829 146Th St NW,,Elk River,MN,55330.0,USA,6126853147.0,,https://www.bizapedia.com/mn/david-r-savage-llc.html,10035-000,Contractors - General,4/15/2009 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,4/20/2022 8:37,Search,,,,,,,,,0,
76,704,1000005270,Heitkamp Properties LLC,4530 Palmgren Ln NE,,Saint Michael,MN,55376.0,USA,6123216949.0,,https://www.bizapedia.com/mn/heitkamp-properties-llc.html,60857-000,Tax Return Preparation,4/16/2009 0:00,,False,A+,100.0,1.0,0.0,False,Micro-small,False,11/12/2020 3:57,Search,,,,,,,,,0,
77,704,1000006013,Peace of Mind Home Inspection,486 Victoria St S,,Saint Paul,MN,55102.0,USA,6512246415.0,,https://mnhomeinspections.com/,60469-000,Home Inspection Service,,11/1/2016 0:00,False,NR,0.0,,,False,Micro-small,False,10/29/2020 3:52,Search,,,,,,,,,1,
78,704,1000000061,Olivers Restaurant,12401 Wayzata Blvd,,Hopkins,MN,55305.0,USA,9528769410.0,,https://menulist.menu/restaurants/hopkins/olivers-restaurant-6,50544-000,Restaurants,4/4/2016 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,4/13/2022 8:07,Search,,,,,,,,,0,
79,704,1000001928,Discount Mattresses & More,501 N. Main Street ,,Stewartrville,MN,55976.0,USA,5075330360.0,,https://www.yellowpages.com/stewartville-mn/mip/discount-mattresses-more-497269220,10148-100,Retail Stores,6/7/2016 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,11/18/2022 9:13,Search,,,,,,,,,0,
80,704,1000003224,Jerry's Home Upholstery ,5025 Abbott Ave S,,Minneapolis,MN,55410.0,USA,6129227572.0,,https://jerrysupholsterymn.com/,50693-000,Upholstery Fabrics - Retail,7/20/2016 0:00,,False,NR,0.0,1.0,0.0,False,Micro-small,False,3/17/2021 4:44,Search,,,,,,,,,1,
